unit,shift_id,responder_id,experience_level,rescue_attempts,successful_rescues
Unit Echo,S02084,R01994,mid,8,8
Unit Bravo,S02085,R01546,mid,5,4
Unit Echo,S02086,R00666,mid,5,3
Unit Delta,S02087,R02210,junior,9,4
Unit Delta,S02088,R02260,junior,3,2
Unit Bravo,S02089,R02179,junior,5,3
Unit Bravo,S02090,R00050,senior,5,3
Unit Bravo,S02091,R02560,junior,4,3
Unit Alpha,S02092,R02367,junior,4,1
Unit Echo,S02093,R01199,mid,5,5
Unit Bravo,S02094,R04664,junior,8,2
Unit Bravo,S02095,R01946,mid,4,3
Unit Bravo,S02096,R01943,junior,13,7
Unit Delta,S02097,R02713,mid,3,2
Unit Bravo,S02098,R03672,junior,2,1
Unit Bravo,S02099,R02564,mid,4,4
Unit Delta,S02100,R02634,senior,4,4
Unit Alpha,S02101,R00999,senior,4,3
Unit Echo,S02102,R01259,mid,9,8
Unit Delta,S02103,R00892,mid,4,2
Unit Bravo,S02104,R04900,mid,8,7
Unit Echo,S02105,R01711,junior,7,5
Unit Delta,S02106,R01448,junior,6,2
Unit Bravo,S02107,R00055,junior,8,5
Unit Alpha,S02108,R00625,mid,4,4
Unit Alpha,S02109,R01098,junior,6,6
Unit Delta,S02110,R03229,junior,4,1
Unit Bravo,S02111,R01851,mid,3,2
Unit Echo,S02112,R04662,mid,2,1
Unit Bravo,S02113,R03562,senior,5,4
Unit Alpha,S02114,R01275,senior,6,6
Unit Alpha,S02115,R02788,junior,3,1
Unit Echo,S02116,R02105,mid,5,4
Unit Alpha,S02117,R02980,junior,10,6
Unit Alpha,S02118,R01937,mid,7,5
Unit Echo,S02119,R03574,mid,8,7
Unit Alpha,S02120,R04763,mid,5,4
Unit Delta,S02121,R02447,junior,7,2
Unit Echo,S02122,R02056,mid,7,6
Unit Delta,S02123,R03571,junior,4,2
Unit Bravo,S02124,R02331,mid,7,5
Unit Bravo,S02125,R04558,mid,6,4
Unit Echo,S02126,R04582,mid,9,6
Unit Echo,S02127,R03501,junior,10,5
Unit Delta,S02128,R00243,junior,8,5
Unit Alpha,S02129,R01577,mid,5,3
Unit Delta,S02130,R02839,senior,6,4
Unit Delta,S02131,R03858,mid,4,4
Unit Bravo,S02132,R01593,mid,4,3
Unit Bravo,S02133,R03888,junior,4,4
Unit Echo,S02134,R00100,mid,5,4
Unit Echo,S02135,R02368,mid,6,2
Unit Echo,S02136,R03702,junior,3,2
Unit Delta,S02137,R04931,junior,3,3
Unit Delta,S02138,R00179,junior,2,2
Unit Delta,S02139,R04248,senior,9,7
Unit Delta,S02140,R00354,junior,8,4
Unit Bravo,S02141,R01838,mid,7,6
Unit Alpha,S02142,R04866,junior,9,4
Unit Delta,S02143,R04478,junior,5,4
Unit Alpha,S02144,R00398,senior,13,12
Unit Bravo,S02145,R02311,junior,2,1
Unit Echo,S02146,R01254,mid,4,4
Unit Bravo,S02147,R03603,junior,6,3
Unit Alpha,S02148,R04418,mid,8,4
Unit Echo,S02149,R00500,junior,3,1
Unit Echo,S02150,R01214,junior,4,4
Unit Echo,S02151,R03101,junior,5,1
Unit Alpha,S02152,R00107,junior,3,2
Unit Alpha,S02153,R01927,mid,5,3
Unit Delta,S02154,R01679,senior,5,5
Unit Delta,S02155,R04855,junior,7,5
Unit Echo,S02156,R03829,mid,4,4
Unit Bravo,S02157,R04827,mid,5,2
Unit Alpha,S02158,R01681,junior,13,8
Unit Alpha,S02159,R03021,junior,3,0
Unit Bravo,S02160,R04819,mid,5,3
Unit Bravo,S02161,R03010,junior,9,6
Unit Delta,S02162,R00608,senior,2,2
Unit Bravo,S02163,R03702,senior,11,11
Unit Delta,S02164,R00244,mid,6,5
Unit Alpha,S02165,R03424,junior,9,7
Unit Delta,S02166,R03540,junior,8,5
Unit Echo,S02167,R01494,junior,7,3
Unit Bravo,S02168,R02025,mid,5,3
Unit Echo,S02169,R01328,mid,7,5
Unit Alpha,S02170,R01100,mid,7,6
Unit Bravo,S02171,R02505,senior,4,3
Unit Delta,S02172,R01160,mid,6,4
Unit Bravo,S02173,R03154,mid,5,4
Unit Alpha,S02174,R00221,mid,3,1
Unit Bravo,S02175,R00397,junior,10,9
Unit Alpha,S02176,R04568,mid,4,4
Unit Echo,S02177,R03709,mid,4,3
Unit Alpha,S02178,R01099,junior,4,4
Unit Delta,S02179,R04171,junior,6,3
Unit Delta,S02180,R03932,mid,9,7
Unit Delta,S02181,R04654,mid,3,2
Unit Alpha,S02182,R03255,junior,7,4
Unit Delta,S02183,R02698,senior,6,4
Unit Alpha,S02184,R02330,senior,9,8
Unit Alpha,S02185,R03590,junior,5,0
Unit Echo,S02186,R01971,junior,3,1
Unit Echo,S02187,R02037,junior,5,2
Unit Alpha,S02188,R03646,mid,6,4
Unit Bravo,S02189,R03152,mid,5,3
Unit Echo,S02190,R00411,senior,7,5
Unit Delta,S02191,R02157,junior,6,3
Unit Alpha,S02192,R03930,senior,6,6
Unit Bravo,S02193,R00251,senior,6,4
Unit Echo,S02194,R04050,mid,6,5
Unit Echo,S02195,R03228,mid,9,6
Unit Alpha,S02196,R04737,mid,5,4
Unit Bravo,S02197,R03133,mid,6,4
Unit Alpha,S02198,R02787,mid,11,10
Unit Alpha,S02199,R02518,mid,5,5
Unit Alpha,S02200,R03196,junior,2,1
Unit Alpha,S02201,R03486,mid,4,2
Unit Alpha,S02202,R04605,junior,8,6
Unit Bravo,S02203,R01030,junior,4,3
Unit Bravo,S02204,R04203,senior,8,8
Unit Echo,S02205,R02471,senior,4,4
Unit Alpha,S02206,R03609,junior,5,2
Unit Delta,S02207,R02797,mid,8,6
Unit Bravo,S02208,R04046,junior,4,1
Unit Delta,S02209,R02496,mid,4,3
Unit Echo,S02210,R01779,junior,7,5
Unit Echo,S02211,R01852,mid,9,7
Unit Delta,S02212,R04203,senior,10,9
Unit Delta,S02213,R01381,junior,8,4
Unit Delta,S02214,R00897,junior,9,6
Unit Delta,S02215,R02272,mid,5,5
Unit Delta,S02216,R01084,senior,10,10
Unit Echo,S02217,R04701,mid,5,2
Unit Alpha,S02218,R03632,senior,2,1
Unit Echo,S02219,R03853,senior,2,2
Unit Bravo,S02220,R01520,mid,7,4
Unit Bravo,S02221,R03206,junior,4,3
Unit Alpha,S02222,R04586,junior,7,4
Unit Bravo,S02223,R04145,mid,3,3
Unit Delta,S02224,R00503,junior,4,1
Unit Delta,S02225,R04018,mid,5,2
Unit Alpha,S02226,R01329,junior,6,3
Unit Bravo,S02227,R02599,mid,5,4
Unit Bravo,S02228,R03131,junior,7,2
Unit Echo,S02229,R03885,senior,9,7
Unit Bravo,S02230,R04723,mid,4,3
Unit Echo,S02231,R01401,mid,2,2
Unit Bravo,S02232,R04773,junior,4,3
Unit Delta,S02233,R02297,junior,3,3
Unit Echo,S02234,R04669,junior,6,2
Unit Bravo,S02235,R01124,junior,7,4
Unit Bravo,S02236,R01282,mid,6,3
Unit Bravo,S02237,R02383,mid,3,3
Unit Echo,S02238,R04257,senior,7,6
Unit Echo,S02239,R00583,mid,8,7
Unit Delta,S02240,R02081,junior,3,0
Unit Alpha,S02241,R01853,mid,4,4
Unit Bravo,S02242,R04715,mid,7,6
Unit Alpha,S02243,R03038,mid,4,3
Unit Bravo,S02244,R00478,senior,4,4
Unit Delta,S02245,R03549,junior,8,5
Unit Echo,S02246,R02347,junior,5,3
Unit Alpha,S02247,R04250,mid,7,4
Unit Delta,S02248,R01882,mid,5,3
Unit Echo,S02249,R02902,senior,6,5
Unit Bravo,S02250,R04223,mid,4,3
Unit Echo,S02251,R02039,mid,8,6
Unit Delta,S02252,R03813,senior,6,5
Unit Alpha,S02253,R01102,junior,4,2
Unit Echo,S02254,R03234,mid,7,7
Unit Alpha,S02255,R02846,senior,3,3
Unit Bravo,S02256,R04482,mid,3,3
Unit Echo,S02257,R02170,senior,6,5
Unit Echo,S02258,R00593,senior,6,4
Unit Echo,S02259,R01205,mid,10,6
Unit Bravo,S02260,R03984,junior,6,3
Unit Delta,S02261,R01785,junior,4,1
Unit Alpha,S02262,R01560,mid,4,2
Unit Bravo,S02263,R03640,senior,6,6
Unit Delta,S02264,R03337,junior,3,1
Unit Alpha,S02265,R01468,mid,6,4
Unit Delta,S02266,R00725,junior,9,3
Unit Delta,S02267,R01209,junior,5,3
Unit Delta,S02268,R02033,junior,5,2
Unit Alpha,S02269,R04262,mid,7,4
Unit Echo,S02270,R01455,mid,4,3
Unit Echo,S02271,R00275,mid,4,3
Unit Alpha,S02272,R02266,junior,4,3
Unit Echo,S02273,R01425,junior,6,6
Unit Delta,S02274,R01220,junior,9,5
Unit Alpha,S02275,R03554,mid,5,2
Unit Delta,S02276,R03515,senior,7,5
Unit Bravo,S02277,R03370,junior,5,3
Unit Echo,S02278,R03392,junior,3,2
Unit Alpha,S02279,R03433,senior,6,5
Unit Delta,S02280,R04812,mid,6,6
Unit Alpha,S02281,R00773,junior,7,5
Unit Delta,S02282,R00735,junior,6,4
Unit Alpha,S02283,R03539,senior,6,5
Unit Delta,S02284,R02083,senior,8,6
Unit Echo,S02285,R01717,mid,4,4
Unit Echo,S02286,R02469,senior,6,6
Unit Echo,S02287,R01506,junior,7,3
Unit Echo,S02288,R04968,senior,11,10
Unit Alpha,S02289,R03200,junior,5,2
Unit Delta,S02290,R00806,junior,6,3
Unit Delta,S02291,R04371,mid,5,4
Unit Bravo,S02292,R04513,mid,6,5
Unit Delta,S02293,R02566,junior,7,4
Unit Bravo,S02294,R01996,junior,5,3
Unit Bravo,S02295,R01152,mid,3,2
Unit Echo,S02296,R04757,senior,2,2
Unit Bravo,S02297,R01408,mid,8,5
Unit Echo,S02298,R02969,junior,9,5
Unit Delta,S02299,R00569,junior,9,3
Unit Echo,S02300,R00304,junior,7,6
Unit Bravo,S02301,R02950,mid,4,3
Unit Delta,S02302,R00942,mid,6,3
Unit Alpha,S02303,R02096,senior,9,8
Unit Delta,S02304,R01616,mid,5,4
Unit Bravo,S02305,R04675,senior,5,4
Unit Echo,S02306,R01259,junior,10,8
Unit Bravo,S02307,R02741,mid,3,2
Unit Bravo,S02308,R03064,junior,3,1
Unit Echo,S02309,R03899,mid,6,5
Unit Alpha,S02310,R02085,senior,9,6
Unit Alpha,S02311,R02398,junior,6,3
Unit Echo,S02312,R03137,mid,6,6
Unit Delta,S02313,R02746,senior,4,3
Unit Echo,S02314,R03254,mid,10,9
Unit Bravo,S02315,R03584,mid,7,4
Unit Delta,S02316,R03309,mid,5,5
Unit Echo,S02317,R03236,senior,6,6
Unit Echo,S02318,R02716,junior,7,4
Unit Alpha,S02319,R01603,mid,8,7
Unit Echo,S02320,R00894,senior,5,5
Unit Delta,S02321,R00912,mid,8,7
Unit Bravo,S02322,R04543,senior,10,8
Unit Delta,S02323,R02988,senior,2,2
Unit Delta,S02324,R00672,junior,6,4
Unit Alpha,S02325,R03428,mid,9,4
Unit Echo,S02326,R02378,senior,7,6
Unit Delta,S02327,R04943,mid,8,6
Unit Bravo,S02328,R04238,mid,5,4
Unit Delta,S02329,R00056,junior,5,3
Unit Echo,S02330,R04014,mid,9,6
Unit Delta,S02331,R01302,mid,3,1
Unit Bravo,S02332,R00671,junior,5,3
Unit Alpha,S02333,R03753,mid,8,5
Unit Delta,S02334,R01921,mid,5,3
Unit Delta,S02335,R03423,junior,7,2
Unit Alpha,S02336,R01992,junior,9,5
Unit Echo,S02337,R04915,mid,5,3
Unit Bravo,S02338,R01994,junior,5,1
Unit Delta,S02339,R03797,mid,3,3
Unit Bravo,S02340,R01570,mid,1,1
Unit Bravo,S02341,R00690,mid,5,4
Unit Echo,S02342,R03195,mid,3,1
Unit Delta,S02343,R01667,mid,4,4
Unit Alpha,S02344,R03429,senior,4,4
Unit Alpha,S02345,R02957,junior,4,3
Unit Echo,S02346,R02786,mid,6,5
Unit Alpha,S02347,R02332,junior,5,2
Unit Delta,S02348,R02071,senior,5,5
Unit Delta,S02349,R00375,mid,6,6
Unit Echo,S02350,R04800,mid,4,3
Unit Bravo,S02351,R02780,junior,6,4
Unit Bravo,S02352,R04589,mid,5,4
Unit Alpha,S02353,R03822,junior,5,2
Unit Echo,S02354,R03486,junior,4,2
Unit Alpha,S02355,R02063,junior,4,4
Unit Delta,S02356,R04426,senior,6,6
Unit Delta,S02357,R00579,junior,9,6
Unit Echo,S02358,R01889,junior,5,5
Unit Bravo,S02359,R03252,senior,11,10
Unit Echo,S02360,R02018,junior,9,4
Unit Echo,S02361,R03018,mid,4,2
Unit Bravo,S02362,R02437,mid,3,2
Unit Delta,S02363,R02017,senior,7,5
Unit Echo,S02364,R02576,mid,5,3
Unit Bravo,S02365,R04836,mid,6,4
Unit Echo,S02366,R01631,junior,9,5
Unit Bravo,S02367,R01791,junior,5,2
Unit Echo,S02368,R04295,mid,7,7
Unit Alpha,S02369,R02161,junior,7,4
Unit Bravo,S02370,R03325,senior,7,6
Unit Echo,S02371,R01535,mid,10,5
Unit Echo,S02372,R01749,junior,5,4
Unit Alpha,S02373,R01599,mid,7,3
Unit Alpha,S02374,R02724,junior,10,6
Unit Echo,S02375,R00025,mid,2,1
Unit Alpha,S02376,R00069,mid,6,5
Unit Alpha,S02377,R00157,senior,6,5
Unit Alpha,S02378,R04412,senior,6,6
Unit Delta,S02379,R03154,senior,3,3
Unit Delta,S02380,R01850,mid,7,3
Unit Echo,S02381,R03879,mid,10,8
Unit Echo,S02382,R01389,junior,8,8
Unit Echo,S02383,R00808,junior,4,2
Unit Alpha,S02384,R02082,mid,6,5
Unit Bravo,S02385,R01165,senior,6,5
Unit Bravo,S02386,R03538,junior,4,2
Unit Bravo,S02387,R04114,junior,6,5
Unit Echo,S02388,R04386,mid,4,3
Unit Echo,S02389,R04672,junior,6,6
Unit Alpha,S02390,R01787,mid,8,7
Unit Delta,S02391,R04964,junior,9,6
Unit Alpha,S02392,R01550,senior,4,3
Unit Echo,S02393,R03926,junior,7,3
Unit Alpha,S02394,R02620,junior,4,3
Unit Echo,S02395,R01389,mid,6,5
Unit Bravo,S02396,R02167,senior,8,7
Unit Alpha,S02397,R04756,junior,4,1
Unit Echo,S02398,R04962,junior,4,3
Unit Bravo,S02399,R03144,junior,8,5
Unit Alpha,S02400,R04092,junior,9,5
Unit Delta,S02401,R03063,junior,2,2
Unit Alpha,S02402,R03978,senior,5,5
Unit Bravo,S02403,R04078,junior,4,3
Unit Delta,S02404,R01842,senior,5,4
Unit Bravo,S02405,R02051,junior,4,3
Unit Bravo,S02406,R02173,senior,9,9
Unit Echo,S02407,R00798,junior,5,3
Unit Echo,S02408,R00336,mid,8,7
Unit Delta,S02409,R04688,mid,11,9
Unit Bravo,S02410,R03317,junior,3,3
Unit Delta,S02411,R04370,junior,6,3
Unit Alpha,S02412,R03382,mid,2,0
Unit Echo,S02413,R03479,junior,5,3
Unit Bravo,S02414,R01500,junior,9,6
Unit Echo,S02415,R01305,junior,7,6
Unit Alpha,S02416,R02129,mid,8,5
Unit Bravo,S02417,R01493,mid,7,6
Unit Delta,S02418,R01322,junior,10,5
Unit Alpha,S02419,R02765,junior,7,4
Unit Alpha,S02420,R00481,mid,8,7
Unit Echo,S02421,R00029,junior,7,6
Unit Bravo,S02422,R03221,mid,6,5
Unit Echo,S02423,R02808,junior,4,3
Unit Bravo,S02424,R01031,junior,5,4
Unit Delta,S02425,R01473,senior,4,4
Unit Delta,S02426,R00875,junior,8,5
Unit Bravo,S02427,R01334,mid,5,4
Unit Delta,S02428,R02022,mid,8,5
Unit Echo,S02429,R01336,mid,5,4
Unit Delta,S02430,R04887,junior,8,5
Unit Echo,S02431,R03364,mid,5,3
Unit Delta,S02432,R04172,junior,5,2
Unit Delta,S02433,R04489,mid,7,3
Unit Echo,S02434,R04575,junior,11,3
Unit Alpha,S02435,R01295,senior,5,3
Unit Delta,S02436,R03701,junior,10,6
Unit Delta,S02437,R04310,mid,9,8
Unit Delta,S02438,R02180,mid,6,4
Unit Alpha,S02439,R01400,senior,9,8
Unit Delta,S02440,R04087,mid,5,4
Unit Bravo,S02441,R01008,mid,9,6
Unit Delta,S02442,R01837,mid,6,3
Unit Alpha,S02443,R03523,mid,5,5
Unit Echo,S02444,R03296,mid,9,7
Unit Bravo,S02445,R01362,mid,8,5
Unit Echo,S02446,R03579,senior,9,7
Unit Echo,S02447,R03091,junior,6,4
Unit Delta,S02448,R00480,junior,5,3
Unit Alpha,S02449,R00748,junior,6,3
Unit Bravo,S02450,R04512,senior,9,9
Unit Echo,S02451,R01524,senior,6,6
Unit Echo,S02452,R01163,mid,7,4
Unit Delta,S02453,R02432,junior,5,4
Unit Alpha,S02454,R04534,junior,8,6
Unit Alpha,S02455,R03780,senior,6,6
Unit Alpha,S02456,R00808,junior,2,0
Unit Bravo,S02457,R01058,mid,7,5
Unit Delta,S02458,R02446,junior,7,4
Unit Bravo,S02459,R01161,junior,7,5
Unit Delta,S02460,R03649,senior,3,2
Unit Alpha,S02461,R02041,senior,8,7
Unit Echo,S02462,R04932,junior,7,4
Unit Echo,S02463,R03828,mid,4,4
Unit Alpha,S02464,R04461,senior,3,3
Unit Alpha,S02465,R03882,mid,6,6
Unit Echo,S02466,R03252,junior,11,5
Unit Delta,S02467,R01464,junior,7,4
Unit Delta,S02468,R03148,junior,5,2
Unit Alpha,S02469,R00397,junior,4,1
Unit Bravo,S02470,R01751,mid,5,5
Unit Alpha,S02471,R03405,mid,6,5
Unit Delta,S02472,R00081,senior,8,6
Unit Delta,S02473,R04035,junior,10,5
Unit Echo,S02474,R00538,junior,7,4
Unit Alpha,S02475,R01382,junior,7,3
Unit Bravo,S02476,R01450,senior,8,5
Unit Bravo,S02477,R02123,junior,5,2
Unit Bravo,S02478,R03592,senior,7,7
Unit Delta,S02479,R00117,mid,7,7
Unit Echo,S02480,R02109,mid,4,3
Unit Alpha,S02481,R03667,mid,9,7
Unit Bravo,S02482,R03001,junior,3,2
Unit Delta,S02483,R04806,senior,5,5
Unit Bravo,S02484,R02023,junior,9,6
Unit Delta,S02485,R03256,mid,12,11
Unit Bravo,S02486,R01202,junior,6,5
Unit Bravo,S02487,R02897,junior,8,5
Unit Delta,S02488,R01948,senior,8,8
Unit Delta,S02489,R01961,junior,2,1
Unit Echo,S02490,R02628,mid,9,9
Unit Bravo,S02491,R01927,mid,6,5
Unit Alpha,S02492,R01843,mid,5,4
Unit Alpha,S02493,R04663,junior,7,3
Unit Bravo,S02494,R03684,junior,8,5
Unit Delta,S02495,R01070,junior,6,4
Unit Delta,S02496,R03411,senior,5,4
Unit Echo,S02497,R02038,junior,5,4
Unit Bravo,S02498,R02505,mid,9,7
Unit Echo,S02499,R02485,mid,6,4
Unit Delta,S02500,R01311,mid,4,3
Unit Delta,S02501,R02613,junior,7,5
Unit Bravo,S02502,R00460,senior,6,6
Unit Delta,S02503,R01647,senior,2,2
Unit Delta,S02504,R03419,senior,5,5
Unit Bravo,S02505,R02925,junior,4,3
Unit Alpha,S02506,R03344,senior,8,8
Unit Bravo,S02507,R03508,junior,8,6
Unit Echo,S02508,R00412,junior,6,5
Unit Alpha,S02509,R03077,junior,7,6
Unit Bravo,S02510,R04757,junior,6,4
Unit Bravo,S02511,R04174,junior,3,3
Unit Delta,S02512,R00822,mid,3,3
Unit Alpha,S02513,R03936,junior,1,0
Unit Bravo,S02514,R04773,mid,5,4
Unit Bravo,S02515,R04645,junior,10,5
Unit Delta,S02516,R01388,mid,4,3
Unit Alpha,S02517,R04464,junior,7,4
Unit Alpha,S02518,R01122,junior,7,6
Unit Delta,S02519,R02891,senior,6,6
Unit Alpha,S02520,R00333,mid,5,3
Unit Bravo,S02521,R03170,mid,3,3
Unit Alpha,S02522,R03196,mid,5,5
Unit Echo,S02523,R02867,junior,4,3
Unit Echo,S02524,R04775,mid,6,6
Unit Alpha,S02525,R00447,mid,9,7
Unit Bravo,S02526,R02705,mid,2,1
Unit Bravo,S02527,R01759,junior,5,2
Unit Bravo,S02528,R02785,mid,8,7
Unit Delta,S02529,R01397,mid,6,4
Unit Alpha,S02530,R02031,junior,2,1
Unit Echo,S02531,R00692,senior,10,8
Unit Delta,S02532,R03982,mid,10,7
Unit Alpha,S02533,R00311,junior,3,3
Unit Delta,S02534,R04343,senior,3,2
Unit Echo,S02535,R04425,mid,11,8
Unit Alpha,S02536,R02111,junior,6,2
Unit Echo,S02537,R02621,junior,7,3
Unit Delta,S02538,R04034,mid,6,5
Unit Bravo,S02539,R04175,junior,6,2
Unit Alpha,S02540,R00317,junior,2,1
Unit Echo,S02541,R00968,junior,7,5
Unit Alpha,S02542,R02144,senior,9,7
Unit Echo,S02543,R01169,mid,6,5
Unit Echo,S02544,R01647,mid,11,11
Unit Delta,S02545,R03938,senior,3,3
Unit Delta,S02546,R00282,mid,4,4
Unit Alpha,S02547,R02931,junior,2,2
Unit Bravo,S02548,R04306,junior,7,3
Unit Alpha,S02549,R00856,senior,5,5
Unit Alpha,S02550,R03052,junior,3,1
Unit Echo,S02551,R00954,junior,5,5
Unit Echo,S02552,R03380,junior,8,4
Unit Echo,S02553,R00543,mid,7,5
Unit Bravo,S02554,R03988,junior,7,4
Unit Echo,S02555,R04955,junior,7,3
Unit Delta,S02556,R04430,mid,5,4
Unit Echo,S02557,R03128,mid,4,3
Unit Delta,S02558,R00639,senior,12,10
Unit Alpha,S02559,R03471,mid,7,4
Unit Bravo,S02560,R01960,mid,9,8
Unit Delta,S02561,R03681,senior,7,7
Unit Bravo,S02562,R02037,mid,8,4
Unit Delta,S02563,R03635,mid,7,5
Unit Echo,S02564,R02407,junior,5,4
Unit Bravo,S02565,R00297,mid,5,5
Unit Bravo,S02566,R02906,mid,5,4
Unit Alpha,S02567,R01528,senior,4,4
Unit Echo,S02568,R03648,mid,2,1
Unit Echo,S02569,R00700,junior,6,5
Unit Alpha,S02570,R01890,senior,6,4
Unit Delta,S02571,R04933,senior,5,3
Unit Bravo,S02572,R00953,junior,6,3
Unit Bravo,S02573,R04620,mid,7,6
Unit Bravo,S02574,R04948,junior,7,4
Unit Bravo,S02575,R03749,mid,6,6
Unit Echo,S02576,R02638,mid,4,4
Unit Bravo,S02577,R02528,senior,4,3
Unit Echo,S02578,R03902,senior,2,2
Unit Alpha,S02579,R01000,mid,6,4
Unit Alpha,S02580,R02165,senior,6,6
Unit Delta,S02581,R00557,junior,7,2
Unit Bravo,S02582,R04913,senior,5,3
Unit Delta,S02583,R03410,mid,3,2
Unit Echo,S02584,R01207,junior,6,4
Unit Echo,S02585,R03183,mid,7,4
Unit Bravo,S02586,R01911,senior,9,9
Unit Echo,S02587,R02340,mid,3,3
Unit Bravo,S02588,R02193,mid,9,7
Unit Delta,S02589,R02256,junior,7,3
Unit Delta,S02590,R04839,senior,8,7
Unit Alpha,S02591,R02147,senior,6,6
Unit Alpha,S02592,R00460,senior,8,5
Unit Echo,S02593,R02079,senior,5,5
Unit Delta,S02594,R03933,mid,8,5
Unit Bravo,S02595,R01298,junior,4,2
Unit Delta,S02596,R02294,mid,5,3
Unit Delta,S02597,R00995,junior,11,9
Unit Echo,S02598,R04200,mid,2,1
Unit Bravo,S02599,R03761,senior,6,5
Unit Delta,S02600,R02689,junior,4,1
Unit Bravo,S02601,R03247,senior,5,5
Unit Bravo,S02602,R00030,junior,3,2
Unit Alpha,S02603,R04399,mid,4,2
Unit Delta,S02604,R01925,junior,5,5
Unit Echo,S02605,R04755,mid,4,3
Unit Alpha,S02606,R01917,junior,7,6
Unit Echo,S02607,R03859,senior,7,6
Unit Echo,S02608,R02761,senior,6,5
Unit Alpha,S02609,R02169,mid,8,4
Unit Echo,S02610,R01744,mid,2,2
Unit Delta,S02611,R00369,junior,6,6
Unit Delta,S02612,R00727,mid,7,5
Unit Echo,S02613,R03698,mid,8,6
Unit Alpha,S02614,R03408,junior,8,3
Unit Bravo,S02615,R01100,junior,3,3
Unit Alpha,S02616,R00552,junior,6,2
Unit Delta,S02617,R02453,mid,9,7
Unit Bravo,S02618,R03704,mid,6,3
Unit Delta,S02619,R01254,mid,5,5
Unit Delta,S02620,R03324,mid,8,7
Unit Alpha,S02621,R01893,junior,7,3
Unit Bravo,S02622,R00545,mid,7,6
Unit Echo,S02623,R02078,mid,8,6
Unit Delta,S02624,R03451,senior,5,4
Unit Echo,S02625,R02574,junior,3,3
Unit Delta,S02626,R01882,junior,3,1
Unit Bravo,S02627,R04334,mid,4,4
Unit Alpha,S02628,R02188,mid,7,4
Unit Bravo,S02629,R03746,junior,11,4
Unit Bravo,S02630,R04539,junior,4,3
Unit Delta,S02631,R04064,junior,4,1
Unit Echo,S02632,R00721,junior,7,1
Unit Alpha,S02633,R00476,junior,9,4
Unit Bravo,S02634,R04870,junior,7,5
Unit Bravo,S02635,R04959,senior,5,5
Unit Alpha,S02636,R03547,junior,3,2
Unit Bravo,S02637,R03646,junior,6,6
Unit Alpha,S02638,R04443,junior,2,1
Unit Echo,S02639,R03640,senior,5,4
Unit Delta,S02640,R03876,senior,7,6
Unit Bravo,S02641,R03319,mid,9,5
Unit Bravo,S02642,R04150,junior,3,1
Unit Delta,S02643,R01917,mid,9,6
Unit Bravo,S02644,R00339,junior,5,3
Unit Bravo,S02645,R04025,senior,6,6
Unit Echo,S02646,R04952,mid,6,5
Unit Delta,S02647,R02066,mid,7,4
Unit Delta,S02648,R01333,senior,7,7
Unit Echo,S02649,R02782,senior,9,8
Unit Delta,S02650,R02915,senior,10,9
Unit Bravo,S02651,R03030,senior,6,6
Unit Bravo,S02652,R02832,junior,7,6
Unit Delta,S02653,R02888,senior,5,5
Unit Bravo,S02654,R03285,mid,5,5
Unit Echo,S02655,R00371,junior,5,4
Unit Alpha,S02656,R03288,mid,6,5
Unit Alpha,S02657,R01058,senior,5,5
Unit Echo,S02658,R00318,mid,2,2
Unit Alpha,S02659,R02762,mid,7,5
Unit Echo,S02660,R00014,senior,11,9
Unit Alpha,S02661,R00156,senior,12,9
Unit Delta,S02662,R03132,junior,4,3
Unit Delta,S02663,R02538,mid,2,2
Unit Echo,S02664,R00112,senior,7,7
Unit Alpha,S02665,R02990,mid,8,7
Unit Alpha,S02666,R03147,junior,8,5
Unit Alpha,S02667,R02617,junior,6,3
Unit Echo,S02668,R03880,junior,5,3
Unit Echo,S02669,R04569,senior,6,5
Unit Delta,S02670,R00614,junior,6,4
Unit Echo,S02671,R04020,mid,11,9
Unit Bravo,S02672,R00673,junior,5,3
Unit Alpha,S02673,R04668,mid,5,3
Unit Delta,S02674,R00238,senior,5,4
Unit Alpha,S02675,R02062,senior,11,10
Unit Echo,S02676,R01676,junior,4,2
Unit Alpha,S02677,R04607,senior,6,4
Unit Alpha,S02678,R00668,senior,7,7
Unit Alpha,S02679,R00917,junior,6,1
Unit Bravo,S02680,R03097,junior,7,5
Unit Alpha,S02681,R02283,mid,6,3
Unit Delta,S02682,R01831,senior,7,6
Unit Echo,S02683,R04992,junior,6,3
Unit Bravo,S02684,R00699,mid,5,3
Unit Alpha,S02685,R04375,senior,9,9
Unit Bravo,S02686,R04831,mid,1,1
Unit Bravo,S02687,R01544,mid,4,4
Unit Bravo,S02688,R03627,junior,6,4
Unit Delta,S02689,R04569,junior,13,9
Unit Echo,S02690,R01407,junior,5,1
Unit Delta,S02691,R02610,mid,3,3
Unit Bravo,S02692,R04980,junior,5,3
Unit Alpha,S02693,R04956,mid,9,6
Unit Bravo,S02694,R01042,junior,4,2
Unit Bravo,S02695,R00677,junior,5,4
Unit Bravo,S02696,R02394,junior,11,7
Unit Delta,S02697,R04482,junior,2,0
Unit Bravo,S02698,R00322,senior,5,4
Unit Echo,S02699,R01919,senior,3,2
Unit Alpha,S02700,R00919,junior,7,4
Unit Alpha,S02701,R03253,senior,5,5
Unit Alpha,S02702,R00306,senior,4,4
Unit Echo,S02703,R00764,junior,4,0
