training_center,course_id,participant_id,difficulty_level,score
Forest Edge,C039,P03334,medium,68.1
Desert Camp,C032,P04278,medium,80.8
Forest Edge,C042,P02590,medium,69.5
Mountain Base,C068,P03461,medium,60.1
Mountain Base,C062,P04997,hard,71.3
Desert Camp,C033,P02594,easy,85.3
Desert Camp,C029,P05407,medium,72.8
Forest Edge,C045,P03254,hard,48.8
Mountain Base,C072,P01801,easy,90.1
North Ridge,C015,P02165,hard,56.2
Forest Edge,C036,P03557,medium,56.3
Mountain Base,C069,P00582,medium,66.2
Forest Edge,C037,P05345,easy,54.2
Forest Edge,C035,P01422,medium,84.2
Forest Edge,C055,P03609,medium,80.0
Desert Camp,C029,P05855,medium,59.0
North Ridge,C012,P03146,medium,64.8
North Ridge,C015,P02309,hard,68.4
Forest Edge,C054,P05316,easy,80.4
Forest Edge,C039,P02513,medium,54.4
Forest Edge,C037,P02136,easy,66.6
Forest Edge,C050,P01373,medium,75.2
Forest Edge,C045,P02946,hard,46.5
North Ridge,C016,P05153,easy,76.3
North Ridge,C005,P05304,medium,84.0
Desert Camp,C020,P01829,hard,60.8
Desert Camp,C033,P04724,easy,82.0
North Ridge,C013,P01418,easy,90.5
Mountain Base,C069,P00768,medium,58.8
Desert Camp,C020,P01730,hard,35.1
Desert Camp,C034,P05445,medium,63.1
Mountain Base,C066,P03915,hard,54.2
Forest Edge,C043,P03189,medium,62.7
Forest Edge,C053,P00341,easy,72.9
Desert Camp,C026,P04067,medium,76.2
North Ridge,C011,P01081,hard,60.5
Forest Edge,C039,P02651,medium,79.2
Desert Camp,C024,P01268,medium,77.8
North Ridge,C005,P04077,medium,66.6
Forest Edge,C053,P05341,easy,84.8
Desert Camp,C030,P01106,medium,48.4
North Ridge,C017,P03534,medium,85.1
Desert Camp,C026,P05987,medium,65.3
Mountain Base,C066,P01753,hard,69.2
Mountain Base,C064,P05911,hard,57.0
Desert Camp,C021,P04339,easy,87.2
Forest Edge,C049,P04792,medium,51.5
Desert Camp,C022,P00502,medium,54.3
Desert Camp,C033,P03922,easy,72.6
Forest Edge,C055,P05222,medium,54.3
Desert Camp,C030,P02734,medium,54.8
Mountain Base,C059,P04697,medium,58.0
North Ridge,C014,P03165,easy,73.5
Mountain Base,C063,P01395,hard,39.6
Desert Camp,C033,P05758,easy,61.8
Forest Edge,C039,P00603,medium,76.3
North Ridge,C013,P03087,easy,69.7
Forest Edge,C056,P05180,medium,71.0
Mountain Base,C074,P03693,medium,89.0
Mountain Base,C060,P05041,medium,54.4
Desert Camp,C033,P00523,easy,73.2
Forest Edge,C039,P00804,medium,71.3
North Ridge,C017,P04700,medium,60.3
Mountain Base,C072,P02498,easy,66.7
Mountain Base,C061,P00886,easy,99.8
North Ridge,C007,P05491,easy,78.5
North Ridge,C008,P05438,easy,75.4
Mountain Base,C061,P03750,easy,61.6
Forest Edge,C044,P05171,medium,81.5
Forest Edge,C035,P04270,medium,83.0
North Ridge,C004,P02058,hard,45.9
North Ridge,C019,P00872,easy,70.7
Forest Edge,C038,P05932,medium,67.9
Desert Camp,C030,P04651,medium,69.1
North Ridge,C012,P04613,medium,66.3
Forest Edge,C044,P03740,medium,94.4
Desert Camp,C025,P03227,medium,61.4
North Ridge,C003,P00041,medium,76.6
Forest Edge,C039,P00897,medium,69.6
Desert Camp,C033,P04692,easy,97.6
Forest Edge,C038,P00496,medium,78.4
Desert Camp,C028,P04767,easy,72.6
Desert Camp,C028,P04272,easy,87.6
Forest Edge,C054,P01107,easy,89.8
Mountain Base,C057,P04737,medium,67.3
North Ridge,C004,P00311,hard,69.1
North Ridge,C003,P02841,medium,70.5
North Ridge,C018,P01961,hard,64.5
North Ridge,C012,P04461,medium,79.4
Forest Edge,C052,P02233,medium,59.2
Desert Camp,C030,P05537,medium,73.5
Mountain Base,C072,P02031,easy,92.7
Desert Camp,C030,P02303,medium,76.4
North Ridge,C018,P02714,hard,63.6
Desert Camp,C025,P02476,medium,81.3
Desert Camp,C034,P05404,medium,69.0
North Ridge,C010,P04670,medium,76.0
North Ridge,C016,P05471,easy,88.0
North Ridge,C017,P02316,medium,73.5
Mountain Base,C069,P01092,medium,61.8
Desert Camp,C032,P05711,medium,73.3
Mountain Base,C073,P02821,medium,75.2
Mountain Base,C072,P04921,easy,75.7
North Ridge,C019,P04572,easy,87.8
Forest Edge,C049,P04896,medium,77.3
North Ridge,C008,P03403,easy,91.5
North Ridge,C002,P00835,medium,64.7
North Ridge,C012,P04667,medium,80.0
Mountain Base,C071,P01343,medium,75.7
Forest Edge,C035,P02119,medium,72.0
Mountain Base,C066,P04521,hard,57.7
Desert Camp,C032,P02555,medium,79.5
Forest Edge,C045,P05523,hard,49.7
Desert Camp,C025,P01014,medium,62.2
Mountain Base,C059,P03363,medium,70.3
Forest Edge,C056,P02142,medium,57.4
Mountain Base,C067,P04424,easy,82.3
Forest Edge,C040,P04675,medium,77.3
Desert Camp,C025,P04272,medium,73.2
Desert Camp,C030,P01312,medium,64.7
Forest Edge,C044,P00003,medium,67.1
Forest Edge,C048,P02469,medium,79.6
Desert Camp,C029,P04765,medium,78.8
North Ridge,C015,P03068,hard,75.3
North Ridge,C009,P05090,medium,83.2
North Ridge,C008,P05487,easy,79.6
Mountain Base,C071,P04695,medium,62.8
Desert Camp,C021,P03700,easy,79.8
North Ridge,C004,P04750,hard,66.3
Mountain Base,C064,P01045,hard,64.5
Forest Edge,C035,P03025,medium,63.5
Mountain Base,C060,P05891,medium,52.6
Forest Edge,C047,P04682,medium,74.1
Desert Camp,C032,P03538,medium,65.0
Desert Camp,C030,P02282,medium,83.8
Desert Camp,C030,P01070,medium,66.3
North Ridge,C014,P04619,easy,87.8
Forest Edge,C051,P00632,medium,75.4
Mountain Base,C059,P04052,medium,80.7
Desert Camp,C020,P01670,hard,59.2
Desert Camp,C021,P05101,easy,78.8
Forest Edge,C039,P05090,medium,79.5
Forest Edge,C053,P03798,easy,88.3
North Ridge,C019,P00926,easy,82.9
North Ridge,C007,P01719,easy,92.9
Desert Camp,C027,P04938,easy,81.3
Mountain Base,C069,P02062,medium,72.4
Mountain Base,C069,P00769,medium,82.9
Desert Camp,C021,P05996,easy,72.4
North Ridge,C006,P02470,medium,61.4
Desert Camp,C028,P02333,easy,70.8
Forest Edge,C035,P02309,medium,75.7
Desert Camp,C034,P04601,medium,61.6
Forest Edge,C050,P04958,medium,75.4
North Ridge,C018,P01208,hard,74.5
North Ridge,C003,P03528,medium,90.9
Forest Edge,C047,P01459,medium,71.1
North Ridge,C001,P03276,medium,68.3
Forest Edge,C048,P02522,medium,73.1
Mountain Base,C059,P01901,medium,73.0
Forest Edge,C054,P05624,easy,83.3
Forest Edge,C048,P05876,medium,62.4
Forest Edge,C046,P01616,easy,78.1
Mountain Base,C071,P03862,medium,70.8
Forest Edge,C051,P01586,medium,63.9
Forest Edge,C046,P04417,easy,70.2
Mountain Base,C064,P00074,hard,59.5
Mountain Base,C059,P05436,medium,81.8
Mountain Base,C073,P01208,medium,78.6
North Ridge,C011,P04471,hard,58.0
North Ridge,C014,P03887,easy,69.2
North Ridge,C019,P05380,easy,81.1
North Ridge,C007,P02977,easy,80.7
Desert Camp,C026,P00428,medium,64.7
North Ridge,C008,P04059,easy,75.5
Mountain Base,C069,P01673,medium,66.0
Forest Edge,C040,P04834,medium,70.2
Forest Edge,C047,P04355,medium,73.8
North Ridge,C012,P05698,medium,76.9
North Ridge,C001,P04252,medium,60.4
Forest Edge,C055,P02620,medium,62.1
Mountain Base,C065,P05844,medium,71.5
North Ridge,C006,P03830,medium,64.5
North Ridge,C001,P03912,medium,82.1
Desert Camp,C028,P04538,easy,79.7
Mountain Base,C060,P02886,medium,84.9
North Ridge,C012,P04643,medium,67.0
Mountain Base,C064,P05539,hard,46.1
Desert Camp,C024,P00057,medium,65.8
Mountain Base,C072,P02735,easy,76.5
Mountain Base,C062,P04308,hard,64.8
Desert Camp,C031,P00904,hard,77.0
North Ridge,C014,P03864,easy,66.6
Forest Edge,C046,P00284,easy,85.6
Desert Camp,C028,P04939,easy,79.4
North Ridge,C008,P04444,easy,85.3
Forest Edge,C055,P02272,medium,82.1
North Ridge,C007,P03802,easy,90.7
North Ridge,C013,P02141,easy,78.9
Desert Camp,C030,P04766,medium,67.8
Desert Camp,C032,P00664,medium,63.2
Desert Camp,C033,P05226,easy,70.3
Desert Camp,C032,P02007,medium,86.7
North Ridge,C005,P00328,medium,64.3
Forest Edge,C042,P03388,medium,93.6
Mountain Base,C069,P02326,medium,78.5
Mountain Base,C061,P01694,easy,69.1
Mountain Base,C065,P02441,medium,62.7
Mountain Base,C062,P03633,hard,73.6
Forest Edge,C054,P00926,easy,86.5
Desert Camp,C022,P03579,medium,72.5
Forest Edge,C051,P02636,medium,56.9
North Ridge,C001,P03725,medium,65.4
Desert Camp,C031,P05585,hard,73.5
Desert Camp,C025,P05872,medium,43.0
Desert Camp,C027,P02951,easy,64.1
North Ridge,C017,P05752,medium,56.8
Forest Edge,C038,P04232,medium,71.2
Desert Camp,C028,P00356,easy,81.7
Forest Edge,C047,P00647,medium,76.9
Mountain Base,C074,P05140,medium,59.7
Desert Camp,C034,P00867,medium,60.4
Mountain Base,C074,P01116,medium,70.2
Forest Edge,C055,P04371,medium,61.1
Forest Edge,C037,P00008,easy,81.1
Mountain Base,C059,P03872,medium,69.6
North Ridge,C001,P01939,medium,65.6
Forest Edge,C055,P01233,medium,70.6
North Ridge,C006,P01600,medium,64.8
Forest Edge,C049,P04521,medium,81.0
North Ridge,C019,P05925,easy,73.1
Mountain Base,C058,P02020,easy,84.5
Forest Edge,C047,P04827,medium,74.4
North Ridge,C013,P01927,easy,65.3
Mountain Base,C066,P02515,hard,43.2
North Ridge,C007,P05406,easy,95.9
Forest Edge,C044,P05223,medium,88.6
Mountain Base,C069,P00704,medium,66.0
Desert Camp,C033,P04650,easy,76.2
North Ridge,C018,P00600,hard,56.4
Mountain Base,C070,P00706,medium,75.4
Mountain Base,C068,P01849,medium,67.2
Desert Camp,C021,P01395,easy,76.4
Forest Edge,C042,P00223,medium,76.1
North Ridge,C012,P05089,medium,68.5
North Ridge,C015,P04031,hard,67.9
North Ridge,C017,P04642,medium,67.6
Mountain Base,C062,P03304,hard,58.4
North Ridge,C016,P01635,easy,54.7
Forest Edge,C056,P02985,medium,79.0
North Ridge,C009,P00625,medium,72.1
Forest Edge,C054,P05359,easy,70.6
Mountain Base,C070,P04703,medium,74.9
Forest Edge,C044,P00940,medium,81.0
Forest Edge,C040,P04791,medium,55.4
North Ridge,C019,P00589,easy,79.9
Forest Edge,C052,P03368,medium,80.4
Forest Edge,C046,P02658,easy,84.5
Mountain Base,C066,P00140,hard,81.6
Mountain Base,C058,P05663,easy,76.9
Mountain Base,C071,P04030,medium,64.7
Mountain Base,C075,P02511,medium,89.6
North Ridge,C009,P02586,medium,68.6
Forest Edge,C052,P02687,medium,75.9
North Ridge,C015,P04735,hard,79.5
Forest Edge,C043,P01319,medium,69.9
North Ridge,C013,P05958,easy,69.5
Desert Camp,C025,P02169,medium,77.6
North Ridge,C001,P01343,medium,67.6
Forest Edge,C042,P01015,medium,75.5
North Ridge,C001,P03137,medium,68.7
North Ridge,C017,P04259,medium,60.6
North Ridge,C007,P02193,easy,80.4
Mountain Base,C063,P00652,hard,58.2
Forest Edge,C037,P00949,easy,72.7
Desert Camp,C028,P05317,easy,92.1
Forest Edge,C055,P05258,medium,58.9
North Ridge,C011,P00694,hard,50.1
Mountain Base,C058,P05262,easy,94.2
Desert Camp,C026,P05361,medium,61.7
Forest Edge,C043,P03683,medium,70.1
Desert Camp,C030,P01459,medium,68.6
Mountain Base,C058,P05533,easy,66.4
North Ridge,C005,P02154,medium,62.6
Forest Edge,C047,P01667,medium,88.2
Forest Edge,C041,P03061,medium,77.3
Forest Edge,C040,P00678,medium,56.1
Mountain Base,C061,P03218,easy,92.6
Desert Camp,C023,P00821,hard,58.2
Desert Camp,C020,P04252,hard,64.6
Mountain Base,C066,P01216,hard,78.0
Mountain Base,C068,P01876,medium,58.1
North Ridge,C001,P00674,medium,80.7
Forest Edge,C037,P04972,easy,86.6
Forest Edge,C036,P01467,medium,65.4
Mountain Base,C067,P01856,easy,87.8
Mountain Base,C058,P00459,easy,85.7
North Ridge,C003,P04808,medium,93.4
Mountain Base,C074,P04638,medium,61.5
Desert Camp,C029,P04016,medium,80.3
North Ridge,C017,P04668,medium,74.1
North Ridge,C019,P05740,easy,86.2
Mountain Base,C070,P01261,medium,70.7
Mountain Base,C064,P01918,hard,43.7
Desert Camp,C029,P05194,medium,82.9
North Ridge,C010,P03275,medium,53.3
Mountain Base,C059,P01013,medium,64.7
Desert Camp,C034,P01933,medium,62.0
Desert Camp,C022,P02384,medium,60.7
Mountain Base,C074,P00180,medium,71.4
Mountain Base,C065,P00184,medium,49.2
North Ridge,C009,P03342,medium,63.6
Forest Edge,C053,P05748,easy,86.9
Forest Edge,C035,P01855,medium,78.8
Mountain Base,C069,P05756,medium,75.8
Forest Edge,C035,P02664,medium,57.4
Mountain Base,C073,P05490,medium,68.9
Forest Edge,C038,P02201,medium,55.8
North Ridge,C017,P03030,medium,78.3
Mountain Base,C072,P03679,easy,76.6
North Ridge,C002,P01371,medium,62.1
North Ridge,C006,P05387,medium,49.6
North Ridge,C013,P00315,easy,78.8
North Ridge,C006,P00119,medium,73.2
Forest Edge,C046,P00945,easy,78.4
Forest Edge,C050,P01560,medium,80.7
Forest Edge,C040,P03212,medium,51.0
North Ridge,C019,P02519,easy,76.0
Forest Edge,C056,P01029,medium,77.8
Desert Camp,C032,P04626,medium,72.6
Mountain Base,C069,P00037,medium,91.2
Mountain Base,C058,P04387,easy,81.2
Mountain Base,C073,P01132,medium,81.9
Forest Edge,C038,P04499,medium,55.6
Forest Edge,C045,P01655,hard,56.4
Desert Camp,C025,P00534,medium,69.7
Desert Camp,C020,P02787,hard,76.3
Desert Camp,C031,P03234,hard,68.1
Mountain Base,C070,P03747,medium,65.0
North Ridge,C013,P00918,easy,78.9
Desert Camp,C022,P00378,medium,79.2
North Ridge,C019,P03184,easy,91.8
Desert Camp,C032,P00799,medium,57.2
North Ridge,C004,P05078,hard,66.4
Forest Edge,C053,P01694,easy,97.2
Desert Camp,C025,P00475,medium,64.9
Desert Camp,C025,P04852,medium,68.2
Mountain Base,C070,P03574,medium,95.6
North Ridge,C004,P01504,hard,58.2
Mountain Base,C072,P00702,easy,54.9
North Ridge,C019,P03161,easy,70.6
Forest Edge,C039,P05281,medium,61.8
North Ridge,C004,P03263,hard,46.7
North Ridge,C005,P04114,medium,62.6
Forest Edge,C052,P02460,medium,70.5
Forest Edge,C043,P02753,medium,58.3
North Ridge,C009,P03426,medium,69.6
Mountain Base,C074,P02704,medium,81.6
Mountain Base,C061,P03425,easy,91.4
North Ridge,C013,P04154,easy,73.2
Mountain Base,C074,P02720,medium,69.5
Mountain Base,C074,P05794,medium,66.9
Desert Camp,C028,P02293,easy,76.9
Mountain Base,C074,P00107,medium,91.3
Forest Edge,C037,P01336,easy,80.5
North Ridge,C005,P01417,medium,84.1
Mountain Base,C063,P00016,hard,58.6
Mountain Base,C060,P01358,medium,79.3
Mountain Base,C059,P02442,medium,45.2
Mountain Base,C065,P00104,medium,65.8
Mountain Base,C060,P03979,medium,75.4
Forest Edge,C039,P01768,medium,78.7
Forest Edge,C051,P02149,medium,75.5
North Ridge,C003,P01268,medium,70.1
Forest Edge,C039,P00001,medium,68.6
Forest Edge,C038,P02082,medium,51.2
North Ridge,C003,P04760,medium,60.8
North Ridge,C017,P00487,medium,66.3
Forest Edge,C043,P02440,medium,74.8
Forest Edge,C052,P00583,medium,72.4
Desert Camp,C026,P02641,medium,76.3
Mountain Base,C071,P00723,medium,66.2
North Ridge,C010,P02796,medium,77.8
North Ridge,C014,P04355,easy,82.4
Mountain Base,C069,P03605,medium,45.6
North Ridge,C016,P02531,easy,81.3
Forest Edge,C040,P03916,medium,55.3
Mountain Base,C068,P04049,medium,76.1
Desert Camp,C032,P00739,medium,61.6
Mountain Base,C070,P01573,medium,47.8
Mountain Base,C064,P01136,hard,52.0
Mountain Base,C057,P03236,medium,68.6
Forest Edge,C046,P05471,easy,100.0
Desert Camp,C025,P02652,medium,62.4
Forest Edge,C053,P03675,easy,76.1
Mountain Base,C070,P01613,medium,67.0
North Ridge,C015,P05775,hard,60.0
Mountain Base,C062,P05860,hard,45.9
North Ridge,C006,P03459,medium,79.1
Desert Camp,C032,P02304,medium,68.6
Desert Camp,C033,P01245,easy,71.1
North Ridge,C008,P03623,easy,71.0
Desert Camp,C025,P04903,medium,81.3
Forest Edge,C038,P03898,medium,59.1
Forest Edge,C051,P03462,medium,67.6
North Ridge,C011,P04841,hard,81.6
Desert Camp,C032,P05881,medium,77.4
North Ridge,C005,P04665,medium,67.4
Forest Edge,C050,P01259,medium,65.4
Desert Camp,C031,P03742,hard,53.3
Forest Edge,C053,P05409,easy,88.7
North Ridge,C004,P02825,hard,40.6
Desert Camp,C023,P01459,hard,55.2
Mountain Base,C074,P03668,medium,69.2
Desert Camp,C034,P00183,medium,53.5
Desert Camp,C033,P05657,easy,100.0
Desert Camp,C028,P03960,easy,84.1
Desert Camp,C032,P02999,medium,71.2
North Ridge,C016,P04083,easy,100.0
North Ridge,C014,P03368,easy,85.4
Desert Camp,C031,P04360,hard,62.3
North Ridge,C010,P01031,medium,91.4
Forest Edge,C052,P02073,medium,57.0
Mountain Base,C071,P01841,medium,72.0
Forest Edge,C049,P01086,medium,96.5
Desert Camp,C034,P03022,medium,61.8
Forest Edge,C054,P04776,easy,77.2
Desert Camp,C029,P00251,medium,67.7
Mountain Base,C057,P01386,medium,69.1
Mountain Base,C057,P01419,medium,75.2
Forest Edge,C039,P05276,medium,85.6
Mountain Base,C061,P02110,easy,88.1
North Ridge,C001,P05340,medium,58.7
Forest Edge,C037,P04679,easy,71.7
Mountain Base,C072,P01164,easy,80.9
Mountain Base,C064,P05820,hard,73.1
Forest Edge,C039,P01771,medium,67.1
North Ridge,C017,P02714,medium,58.5
North Ridge,C004,P05666,hard,61.0
North Ridge,C001,P04211,medium,78.8
Desert Camp,C028,P02520,easy,75.9
Mountain Base,C068,P05968,medium,79.6
North Ridge,C001,P00708,medium,71.6
Forest Edge,C055,P00604,medium,76.4
Forest Edge,C046,P05785,easy,69.5
Forest Edge,C048,P01065,medium,63.9
Mountain Base,C064,P04484,hard,56.4
Mountain Base,C061,P05478,easy,79.3
Forest Edge,C047,P00443,medium,71.0
Forest Edge,C050,P03539,medium,75.5
Forest Edge,C039,P05488,medium,53.9
Desert Camp,C021,P00883,easy,67.2
Forest Edge,C049,P04294,medium,66.5
North Ridge,C007,P02993,easy,85.7
North Ridge,C016,P01015,easy,57.4
Forest Edge,C036,P01786,medium,76.1
Forest Edge,C038,P04547,medium,80.4
Forest Edge,C048,P05346,medium,88.8
Forest Edge,C045,P01929,hard,60.1
North Ridge,C017,P03377,medium,53.0
North Ridge,C012,P01381,medium,74.9
Forest Edge,C042,P01205,medium,73.3
North Ridge,C017,P01907,medium,87.0
Desert Camp,C020,P03909,hard,65.8
Mountain Base,C073,P03924,medium,83.8
Mountain Base,C070,P03632,medium,59.0
Desert Camp,C027,P02885,easy,72.8
Forest Edge,C047,P02993,medium,78.6
Forest Edge,C035,P03200,medium,76.2
Mountain Base,C066,P03691,hard,54.8
Mountain Base,C068,P05851,medium,82.9
North Ridge,C010,P04250,medium,57.7
Mountain Base,C063,P02302,hard,49.8
Mountain Base,C075,P03784,medium,88.2
Mountain Base,C063,P02871,hard,56.7
Mountain Base,C073,P01753,medium,65.2
Mountain Base,C060,P04663,medium,78.5
Forest Edge,C056,P01803,medium,72.5
Mountain Base,C058,P03352,easy,86.5
Desert Camp,C032,P05699,medium,73.1
Mountain Base,C067,P01114,easy,84.2
Desert Camp,C031,P04405,hard,68.6
Forest Edge,C053,P02154,easy,84.2
Forest Edge,C046,P05057,easy,100.0
Desert Camp,C027,P05397,easy,64.5
Forest Edge,C037,P00002,easy,77.8
Forest Edge,C037,P00543,easy,90.0
Forest Edge,C056,P05238,medium,44.2
Mountain Base,C060,P01138,medium,74.5
Desert Camp,C032,P05256,medium,80.1
Desert Camp,C021,P04986,easy,79.5
Mountain Base,C064,P01474,hard,58.8
North Ridge,C006,P03946,medium,69.4
North Ridge,C015,P03818,hard,61.3
North Ridge,C009,P04545,medium,59.7
Forest Edge,C041,P04026,medium,75.7
Desert Camp,C025,P01963,medium,78.7
Mountain Base,C059,P04386,medium,61.3
Desert Camp,C025,P01495,medium,70.2
North Ridge,C011,P00410,hard,72.3
Forest Edge,C039,P04533,medium,67.0
Desert Camp,C028,P01981,easy,74.3
North Ridge,C018,P00722,hard,64.7
North Ridge,C009,P03552,medium,64.6
Forest Edge,C051,P01642,medium,77.1
North Ridge,C002,P04006,medium,79.5
Forest Edge,C045,P02754,hard,61.4
Desert Camp,C031,P00017,hard,56.5
Desert Camp,C032,P03097,medium,62.3
North Ridge,C017,P00555,medium,70.7
Mountain Base,C075,P03998,medium,64.0
Forest Edge,C040,P04464,medium,67.8
Mountain Base,C068,P02885,medium,87.5
Forest Edge,C048,P01186,medium,71.9
Desert Camp,C024,P01794,medium,74.8
Desert Camp,C020,P00597,hard,49.6
Forest Edge,C055,P04816,medium,67.0
North Ridge,C019,P04024,easy,88.4
Mountain Base,C069,P00151,medium,64.0
Forest Edge,C043,P05075,medium,71.2
North Ridge,C001,P00366,medium,69.4
Forest Edge,C055,P04499,medium,80.1
Desert Camp,C024,P02977,medium,70.2
Desert Camp,C029,P02870,medium,65.7
Forest Edge,C054,P02852,easy,75.2
North Ridge,C001,P04635,medium,75.9
Desert Camp,C028,P01070,easy,99.4
Desert Camp,C031,P04132,hard,61.1
Forest Edge,C040,P05316,medium,74.8
North Ridge,C009,P04230,medium,61.4
Forest Edge,C045,P03817,hard,77.9
Mountain Base,C062,P01561,hard,52.2
North Ridge,C015,P02697,hard,69.4
Desert Camp,C020,P02612,hard,71.1
North Ridge,C001,P04825,medium,66.6
North Ridge,C002,P00056,medium,52.9
Forest Edge,C035,P00265,medium,71.8
Mountain Base,C059,P03150,medium,68.2
Desert Camp,C020,P02433,hard,72.6
North Ridge,C018,P00551,hard,52.2
North Ridge,C009,P02476,medium,79.0
Desert Camp,C033,P00353,easy,77.1
Forest Edge,C053,P05987,easy,98.4
Forest Edge,C051,P00488,medium,48.6
North Ridge,C013,P03014,easy,66.8
North Ridge,C005,P03721,medium,75.4
Mountain Base,C065,P05964,medium,65.2
Forest Edge,C043,P01825,medium,89.3
Mountain Base,C059,P02237,medium,75.4
Desert Camp,C027,P05584,easy,73.3
Desert Camp,C021,P03735,easy,94.6
Desert Camp,C030,P00081,medium,75.2
Forest Edge,C048,P05807,medium,53.6
North Ridge,C002,P00077,medium,83.0
Forest Edge,C056,P00533,medium,94.2
Forest Edge,C051,P02577,medium,64.8
North Ridge,C018,P04861,hard,59.5
North Ridge,C018,P05544,hard,50.3
Desert Camp,C022,P01298,medium,67.2
North Ridge,C005,P03582,medium,65.1
Forest Edge,C035,P02988,medium,73.7
Forest Edge,C037,P03741,easy,88.3
Forest Edge,C047,P01146,medium,55.3
Forest Edge,C042,P00747,medium,80.2
Desert Camp,C026,P03514,medium,68.2
North Ridge,C008,P01371,easy,80.8
Desert Camp,C030,P02431,medium,71.4
Forest Edge,C054,P05514,easy,61.1
Forest Edge,C048,P01340,medium,70.6
North Ridge,C017,P03837,medium,67.9
Desert Camp,C029,P05564,medium,82.4
North Ridge,C015,P03104,hard,51.3
Desert Camp,C032,P03729,medium,76.1
Forest Edge,C056,P04414,medium,66.3
Forest Edge,C053,P05468,easy,78.8
Desert Camp,C032,P03101,medium,77.2
Forest Edge,C044,P00417,medium,82.3
North Ridge,C014,P02603,easy,84.4
Forest Edge,C055,P05222,medium,79.7
Forest Edge,C054,P00771,easy,88.6
Forest Edge,C050,P00968,medium,70.1
North Ridge,C016,P00798,easy,84.7
Mountain Base,C068,P01103,medium,69.3
Mountain Base,C074,P01790,medium,82.7
North Ridge,C006,P02506,medium,82.9
Desert Camp,C023,P01407,hard,74.0
North Ridge,C019,P03483,easy,86.6
Desert Camp,C029,P00121,medium,68.8
Mountain Base,C070,P05560,medium,65.4
North Ridge,C010,P04010,medium,69.6
Desert Camp,C033,P01357,easy,86.0
North Ridge,C017,P01922,medium,82.6
Mountain Base,C062,P04710,hard,53.9
North Ridge,C016,P02185,easy,96.6
Desert Camp,C029,P03075,medium,74.7
North Ridge,C017,P04078,medium,57.7
Desert Camp,C020,P01618,hard,44.7
Mountain Base,C062,P00404,hard,55.0
Desert Camp,C034,P02814,medium,74.1
North Ridge,C011,P02001,hard,57.6
Mountain Base,C068,P02822,medium,82.8
Desert Camp,C033,P05876,easy,59.6
Desert Camp,C021,P03805,easy,76.3
Mountain Base,C061,P03156,easy,78.8
Desert Camp,C020,P05892,hard,72.5
North Ridge,C003,P05036,medium,66.4
North Ridge,C017,P04237,medium,66.5
North Ridge,C012,P01467,medium,68.4
North Ridge,C005,P00481,medium,82.6
Desert Camp,C023,P05562,hard,60.2
Desert Camp,C024,P00714,medium,76.3
Forest Edge,C049,P00286,medium,72.5
Desert Camp,C024,P00086,medium,60.5
North Ridge,C009,P04895,medium,60.8
Mountain Base,C071,P05266,medium,64.5
Desert Camp,C033,P04959,easy,86.9
North Ridge,C014,P02884,easy,100.0
Mountain Base,C073,P01974,medium,76.8
Forest Edge,C037,P05785,easy,81.8
Forest Edge,C046,P02056,easy,75.3
North Ridge,C005,P04375,medium,62.4
Desert Camp,C026,P02885,medium,80.7
Mountain Base,C073,P04577,medium,82.4
North Ridge,C006,P00811,medium,70.1
Desert Camp,C029,P00973,medium,73.4
Forest Edge,C048,P03990,medium,53.9
Forest Edge,C039,P03229,medium,91.8
Forest Edge,C046,P01107,easy,72.6
Forest Edge,C035,P00182,medium,68.4
Desert Camp,C022,P05049,medium,65.5
Mountain Base,C068,P02772,medium,93.6
Forest Edge,C056,P04332,medium,71.3
Desert Camp,C030,P04230,medium,76.7
North Ridge,C017,P00001,medium,63.3
North Ridge,C011,P04294,hard,65.2
North Ridge,C008,P04322,easy,69.8
Mountain Base,C066,P05213,hard,72.6
Forest Edge,C045,P04459,hard,49.4
North Ridge,C016,P02056,easy,81.6
North Ridge,C004,P00695,hard,65.1
Mountain Base,C059,P02492,medium,73.4
Forest Edge,C044,P04176,medium,60.8
Forest Edge,C052,P03042,medium,75.2
Forest Edge,C044,P05587,medium,53.3
Desert Camp,C023,P00204,hard,73.3
Forest Edge,C056,P00160,medium,66.1
Desert Camp,C024,P01346,medium,69.6
North Ridge,C004,P04573,hard,59.7
Forest Edge,C055,P04708,medium,63.9
Mountain Base,C063,P04568,hard,55.3
Forest Edge,C043,P03990,medium,74.6
Desert Camp,C032,P00431,medium,44.5
North Ridge,C013,P02717,easy,84.6
Forest Edge,C039,P04487,medium,67.6
Desert Camp,C033,P00267,easy,87.4
Mountain Base,C059,P01963,medium,62.8
Mountain Base,C069,P01370,medium,63.5
Forest Edge,C044,P04295,medium,69.9
North Ridge,C016,P02459,easy,76.0
North Ridge,C011,P03212,hard,60.3
Desert Camp,C027,P01118,easy,76.8
Mountain Base,C065,P05808,medium,81.6
Forest Edge,C051,P02763,medium,77.1
Mountain Base,C072,P05071,easy,80.1
Forest Edge,C038,P02823,medium,77.7
Forest Edge,C042,P02116,medium,64.1
Forest Edge,C049,P01719,medium,67.8
Mountain Base,C061,P00024,easy,67.3
North Ridge,C013,P05944,easy,81.8
Mountain Base,C057,P03330,medium,73.5
Mountain Base,C059,P05951,medium,67.1
Desert Camp,C031,P04488,hard,56.8
Mountain Base,C059,P04316,medium,92.0
Desert Camp,C023,P02673,hard,68.8
