,bird_id,common_name,family,field_guide_region
626,B00627,Robin,Raptor,South Rim
627,B00628,Robin,Warbler,River Trail
628,B00629,Falcon,Thrush,Meadow Loop
629,B00630,Robin,Warbler,River Trail
630,B00631,Chickadee,Thrush,River Trail
631,B00632,Robin,Woodpecker,River Trail
632,B00633,Heron,Warbler,South Rim
633,B00634,Robin,Owl,South Rim
634,B00635,Hawk,Finch,River Trail
635,B00636,Jay,Finch,North Rim
636,B00637,Wren,Finch,Meadow Loop
637,B00638,Wren,Owl,Meadow Loop
638,B00639,Goldfinch,Thrush,South Rim
639,B00640,Kestrel,Thrush,South Rim
640,B00641,Jay,Raptor,South Rim
641,B00642,Pelican,Raptor,Meadow Loop
642,B00643,Pelican,Finch,Meadow Loop
643,B00644,Falcon,Owl,North Rim
644,B00645,Goldfinch,Gull,River Trail
645,B00646,Robin,Warbler,North Rim
646,B00647,Heron,Raptor,River Trail
647,B00648,Falcon,Owl,South Rim
648,B00649,Kestrel,Warbler,South Rim
649,B00650,Pelican,Finch,River Trail
650,B00651,Falcon,Finch,South Rim
651,B00652,Jay,Owl,South Rim
652,B00653,Hawk,Owl,Meadow Loop
653,B00654,Goldfinch,Finch,Canyon Pass
654,B00655,Swallow,Raptor,North Rim
655,B00656,Falcon,Raptor,South Rim
656,B00657,Chickadee,Raptor,Canyon Pass
657,B00658,Jay,Warbler,River Trail
658,B00659,Bluebird,Gull,South Rim
659,B00660,Wren,Warbler,River Trail
660,B00661,Hawk,Gull,North Rim
661,B00662,Chickadee,Owl,North Rim
662,B00663,Bluebird,Woodpecker,Meadow Loop
663,B00664,Hawk,Thrush,River Trail
664,B00665,Swallow,Owl,Meadow Loop
665,B00666,Chickadee,Thrush,South Rim
666,B00667,Falcon,Raptor,Canyon Pass
667,B00668,Pelican,Warbler,River Trail
668,B00669,Pelican,Warbler,Meadow Loop
669,B00670,Sparrow,Warbler,North Rim
670,B00671,Kestrel,Thrush,North Rim
671,B00672,Swallow,Owl,Meadow Loop
672,B00673,Jay,Thrush,Canyon Pass
673,B00674,Sparrow,Raptor,Canyon Pass
674,B00675,Jay,Gull,South Rim
675,B00676,Chickadee,Woodpecker,North Rim
676,B00677,Swallow,Owl,Canyon Pass
677,B00678,Sparrow,Thrush,Meadow Loop
678,B00679,Falcon,Woodpecker,South Rim
679,B00680,Kestrel,Gull,Meadow Loop
680,B00681,Chickadee,Warbler,Canyon Pass
681,B00682,Sparrow,Finch,South Rim
682,B00683,Kestrel,Woodpecker,Meadow Loop
683,B00684,Kestrel,Raptor,Meadow Loop
684,B00685,Hawk,Warbler,River Trail
685,B00686,Goldfinch,Woodpecker,Meadow Loop
686,B00687,Heron,Woodpecker,South Rim
687,B00688,Swallow,Woodpecker,Canyon Pass
688,B00689,Heron,Woodpecker,Canyon Pass
689,B00690,Goldfinch,Woodpecker,Canyon Pass
690,B00691,Kestrel,Finch,Meadow Loop
691,B00692,Goldfinch,Warbler,North Rim
692,B00693,Kestrel,Gull,South Rim
693,B00694,Kestrel,Warbler,River Trail
694,B00695,Sparrow,Finch,Canyon Pass
695,B00696,Wren,Gull,River Trail
696,B00697,Chickadee,Woodpecker,River Trail
697,B00698,Swallow,Raptor,North Rim
698,B00699,Bluebird,Warbler,Meadow Loop
699,B00700,Sparrow,Owl,South Rim
700,B00701,Falcon,Thrush,North Rim
701,B00702,Jay,Finch,Canyon Pass
702,B00703,Hawk,Owl,North Rim
703,B00704,Hawk,Finch,North Rim
704,B00705,Sparrow,Raptor,North Rim
705,B00706,Swallow,Owl,River Trail
706,B00707,Bluebird,Raptor,North Rim
707,B00708,Swallow,Gull,Canyon Pass
708,B00709,Falcon,Finch,River Trail
709,B00710,Falcon,Thrush,South Rim
710,B00711,Jay,Finch,North Rim
711,B00712,Falcon,Thrush,River Trail
712,B00713,Chickadee,Woodpecker,North Rim
713,B00714,Chickadee,Gull,Canyon Pass
714,B00715,Pelican,Raptor,South Rim
715,B00716,Goldfinch,Finch,River Trail
716,B00717,Falcon,Gull,North Rim
717,B00718,Falcon,Warbler,North Rim
718,B00719,Wren,Raptor,South Rim
719,B00720,Swallow,Raptor,North Rim
720,B00721,Sparrow,Warbler,Meadow Loop
721,B00722,Kestrel,Owl,Canyon Pass
722,B00723,Goldfinch,Thrush,Canyon Pass
723,B00724,Sparrow,Owl,South Rim
724,B00725,Goldfinch,Raptor,Meadow Loop
725,B00726,Sparrow,Finch,River Trail
726,B00727,Chickadee,Warbler,North Rim
727,B00728,Sparrow,Raptor,North Rim
728,B00729,Falcon,Owl,River Trail
729,B00730,Jay,Warbler,River Trail
730,B00731,Chickadee,Thrush,North Rim
731,B00732,Heron,Finch,Canyon Pass
732,B00733,Pelican,Warbler,Meadow Loop
733,B00734,Goldfinch,Raptor,River Trail
734,B00735,Hawk,Finch,Canyon Pass
735,B00736,Jay,Finch,Canyon Pass
736,B00737,Chickadee,Gull,Canyon Pass
737,B00738,Robin,Gull,South Rim
738,B00739,Chickadee,Owl,Canyon Pass
739,B00740,Pelican,Thrush,River Trail
740,B00741,Goldfinch,Raptor,Meadow Loop
741,B00742,Chickadee,Thrush,Canyon Pass
742,B00743,Jay,Thrush,North Rim
743,B00744,Wren,Warbler,River Trail
744,B00745,Goldfinch,Gull,North Rim
745,B00746,Robin,Woodpecker,South Rim
746,B00747,Falcon,Owl,River Trail
747,B00748,Robin,Gull,Canyon Pass
748,B00749,Robin,Owl,Canyon Pass
749,B00750,Hawk,Warbler,South Rim
750,B00751,Kestrel,Owl,South Rim
751,B00752,Sparrow,Woodpecker,River Trail
752,B00753,Sparrow,Thrush,Canyon Pass
753,B00754,Kestrel,Finch,Canyon Pass
754,B00755,Swallow,Owl,South Rim
755,B00756,Heron,Finch,North Rim
756,B00757,Chickadee,Owl,Meadow Loop
757,B00758,Robin,Woodpecker,South Rim
758,B00759,Sparrow,Finch,North Rim
759,B00760,Chickadee,Thrush,North Rim
760,B00761,Hawk,Raptor,River Trail
761,B00762,Swallow,Warbler,South Rim
762,B00763,Kestrel,Finch,River Trail
763,B00764,Kestrel,Gull,South Rim
764,B00765,Robin,Finch,Meadow Loop
765,B00766,Goldfinch,Warbler,Meadow Loop
766,B00767,Swallow,Raptor,River Trail
767,B00768,Falcon,Gull,North Rim
768,B00769,Sparrow,Thrush,River Trail
769,B00770,Robin,Warbler,Meadow Loop
770,B00771,Jay,Woodpecker,South Rim
771,B00772,Kestrel,Thrush,South Rim
772,B00773,Bluebird,Raptor,River Trail
773,B00774,Chickadee,Warbler,South Rim
774,B00775,Pelican,Thrush,River Trail
775,B00776,Kestrel,Raptor,South Rim
776,B00777,Heron,Finch,South Rim
777,B00778,Sparrow,Warbler,Meadow Loop
778,B00779,Wren,Thrush,River Trail
779,B00780,Pelican,Thrush,River Trail
780,B00781,Pelican,Gull,Meadow Loop
781,B00782,Jay,Woodpecker,South Rim
782,B00783,Sparrow,Warbler,North Rim
783,B00784,Sparrow,Raptor,Canyon Pass
784,B00785,Falcon,Raptor,North Rim
785,B00786,Swallow,Raptor,River Trail
786,B00787,Bluebird,Warbler,South Rim
787,B00788,Jay,Thrush,South Rim
788,B00789,Swallow,Finch,North Rim
789,B00790,Bluebird,Raptor,Canyon Pass
790,B00791,Sparrow,Raptor,River Trail
791,B00792,Heron,Warbler,South Rim
792,B00793,Chickadee,Woodpecker,Meadow Loop
793,B00794,Goldfinch,Gull,North Rim
794,B00795,Heron,Raptor,River Trail
795,B00796,Wren,Warbler,River Trail
796,B00797,Kestrel,Owl,River Trail
797,B00798,Heron,Woodpecker,North Rim
798,B00799,Robin,Thrush,Canyon Pass
799,B00800,Heron,Woodpecker,South Rim
800,B00801,Bluebird,Gull,Meadow Loop
801,B00802,Wren,Thrush,Meadow Loop
802,B00803,Falcon,Owl,South Rim
803,B00804,Pelican,Thrush,North Rim
804,B00805,Chickadee,Thrush,South Rim
805,B00806,Goldfinch,Thrush,Canyon Pass
806,B00807,Swallow,Finch,Canyon Pass
807,B00808,Sparrow,Gull,Canyon Pass
808,B00809,Heron,Raptor,South Rim
809,B00810,Kestrel,Thrush,Meadow Loop
810,B00811,Bluebird,Warbler,North Rim
811,B00812,Pelican,Owl,Meadow Loop
812,B00813,Jay,Woodpecker,River Trail
813,B00814,Wren,Owl,Meadow Loop
814,B00815,Goldfinch,Thrush,Meadow Loop
815,B00816,Goldfinch,Owl,Canyon Pass
816,B00817,Bluebird,Gull,River Trail
817,B00818,Sparrow,Finch,South Rim
818,B00819,Jay,Warbler,River Trail
819,B00820,Kestrel,Woodpecker,North Rim
820,B00821,Bluebird,Finch,North Rim
821,B00822,Jay,Thrush,River Trail
822,B00823,Sparrow,Warbler,Canyon Pass
823,B00824,Jay,Raptor,River Trail
824,B00825,Jay,Thrush,Meadow Loop
825,B00826,Sparrow,Raptor,North Rim
826,B00827,Jay,Finch,River Trail
827,B00828,Pelican,Woodpecker,Meadow Loop
828,B00829,Pelican,Thrush,South Rim
829,B00830,Bluebird,Gull,North Rim
830,B00831,Wren,Woodpecker,North Rim
831,B00832,Wren,Owl,Canyon Pass
832,B00833,Heron,Woodpecker,Meadow Loop
833,B00834,Sparrow,Warbler,South Rim
834,B00835,Pelican,Owl,South Rim
835,B00836,Goldfinch,Woodpecker,North Rim
836,B00837,Goldfinch,Raptor,Canyon Pass
837,B00838,Hawk,Finch,North Rim
838,B00839,Bluebird,Finch,Meadow Loop
839,B00840,Pelican,Finch,South Rim
840,B00841,Wren,Raptor,South Rim
841,B00842,Jay,Woodpecker,South Rim
842,B00843,Pelican,Woodpecker,Canyon Pass
843,B00844,Bluebird,Raptor,North Rim
844,B00845,Bluebird,Owl,South Rim
845,B00846,Bluebird,Raptor,South Rim
846,B00847,Hawk,Owl,South Rim
847,B00848,Bluebird,Gull,North Rim
848,B00849,Goldfinch,Finch,Canyon Pass
849,B00850,Swallow,Thrush,South Rim
850,B00851,Kestrel,Gull,River Trail
851,B00852,Goldfinch,Raptor,South Rim
852,B00853,Kestrel,Warbler,Canyon Pass
853,B00854,Wren,Warbler,South Rim
854,B00855,Wren,Woodpecker,South Rim
855,B00856,Pelican,Thrush,South Rim
856,B00857,Wren,Owl,South Rim
857,B00858,Bluebird,Woodpecker,North Rim
858,B00859,Jay,Thrush,Meadow Loop
859,B00860,Goldfinch,Gull,North Rim
860,B00861,Kestrel,Gull,South Rim
861,B00862,Kestrel,Raptor,South Rim
862,B00863,Sparrow,Gull,South Rim
863,B00864,Goldfinch,Raptor,Meadow Loop
864,B00865,Goldfinch,Finch,River Trail
865,B00866,Chickadee,Finch,Canyon Pass
866,B00867,Goldfinch,Owl,South Rim
867,B00868,Goldfinch,Gull,Canyon Pass
868,B00869,Heron,Raptor,North Rim
869,B00870,Bluebird,Woodpecker,River Trail
870,B00871,Heron,Owl,Meadow Loop
871,B00872,Hawk,Woodpecker,River Trail
872,B00873,Sparrow,Owl,Canyon Pass
873,B00874,Sparrow,Raptor,South Rim
874,B00875,Chickadee,Owl,North Rim
875,B00876,Falcon,Raptor,Meadow Loop
876,B00877,Swallow,Warbler,North Rim
877,B00878,Chickadee,Finch,Meadow Loop
878,B00879,Swallow,Woodpecker,Meadow Loop
879,B00880,Jay,Finch,Canyon Pass
880,B00881,Sparrow,Raptor,River Trail
881,B00882,Pelican,Finch,Canyon Pass
882,B00883,Heron,Raptor,North Rim
883,B00884,Hawk,Gull,River Trail
884,B00885,Goldfinch,Raptor,North Rim
885,B00886,Chickadee,Finch,Meadow Loop
886,B00887,Bluebird,Raptor,Meadow Loop
887,B00888,Hawk,Raptor,Canyon Pass
888,B00889,Bluebird,Woodpecker,Meadow Loop
889,B00890,Wren,Raptor,South Rim
890,B00891,Sparrow,Thrush,North Rim
891,B00892,Chickadee,Raptor,Canyon Pass
892,B00893,Falcon,Finch,River Trail
893,B00894,Kestrel,Thrush,North Rim
894,B00895,Chickadee,Raptor,Canyon Pass
895,B00896,Swallow,Warbler,Canyon Pass
896,B00897,Falcon,Finch,River Trail
897,B00898,Bluebird,Owl,Meadow Loop
898,B00899,Bluebird,Woodpecker,North Rim
899,B00900,Jay,Raptor,North Rim
900,B00901,Bluebird,Woodpecker,South Rim
901,B00902,Bluebird,Warbler,Meadow Loop
902,B00903,Hawk,Owl,North Rim
903,B00904,Pelican,Finch,North Rim
904,B00905,Heron,Owl,Meadow Loop
905,B00906,Chickadee,Owl,Meadow Loop
906,B00907,Heron,Finch,Meadow Loop
907,B00908,Hawk,Warbler,Meadow Loop
908,B00909,Robin,Finch,Canyon Pass
909,B00910,Sparrow,Owl,Meadow Loop
910,B00911,Goldfinch,Woodpecker,River Trail
911,B00912,Hawk,Woodpecker,Canyon Pass
912,B00913,Robin,Warbler,South Rim
913,B00914,Kestrel,Gull,North Rim
914,B00915,Swallow,Thrush,Meadow Loop
915,B00916,Heron,Gull,South Rim
916,B00917,Swallow,Woodpecker,Canyon Pass
917,B00918,Goldfinch,Thrush,River Trail
918,B00919,Wren,Gull,Canyon Pass
919,B00920,Jay,Woodpecker,North Rim
920,B00921,Pelican,Owl,Meadow Loop
921,B00922,Swallow,Raptor,River Trail
922,B00923,Heron,Thrush,River Trail
923,B00924,Sparrow,Woodpecker,South Rim
924,B00925,Wren,Woodpecker,Canyon Pass
925,B00926,Kestrel,Gull,South Rim
926,B00927,Swallow,Woodpecker,Canyon Pass
927,B00928,Wren,Thrush,River Trail
928,B00929,Heron,Gull,North Rim
929,B00930,Swallow,Thrush,Canyon Pass
930,B00931,Falcon,Woodpecker,North Rim
931,B00932,Chickadee,Gull,South Rim
932,B00933,Wren,Woodpecker,Canyon Pass
933,B00934,Jay,Finch,Canyon Pass
934,B00935,Heron,Thrush,Canyon Pass
935,B00936,Kestrel,Thrush,River Trail
936,B00937,Hawk,Raptor,Meadow Loop
937,B00938,Sparrow,Owl,South Rim
938,B00939,Falcon,Warbler,Meadow Loop
939,B00940,Falcon,Owl,River Trail
940,B00941,Jay,Warbler,North Rim
941,B00942,Heron,Finch,River Trail
942,B00943,Pelican,Warbler,River Trail
943,B00944,Falcon,Finch,South Rim
944,B00945,Sparrow,Finch,South Rim
945,B00946,Sparrow,Thrush,River Trail
946,B00947,Kestrel,Finch,North Rim
947,B00948,Sparrow,Owl,North Rim
948,B00949,Kestrel,Woodpecker,Meadow Loop
949,B00950,Wren,Raptor,South Rim
950,B00951,Sparrow,Woodpecker,Meadow Loop
951,B00952,Wren,Woodpecker,River Trail
952,B00953,Swallow,Woodpecker,River Trail
953,B00954,Heron,Raptor,River Trail
954,B00955,Goldfinch,Owl,River Trail
955,B00956,Swallow,Finch,Canyon Pass
956,B00957,Heron,Thrush,Canyon Pass
957,B00958,Jay,Warbler,South Rim
958,B00959,Kestrel,Gull,Meadow Loop
959,B00960,Heron,Warbler,Canyon Pass
960,B00961,Sparrow,Finch,North Rim
961,B00962,Heron,Owl,Meadow Loop
962,B00963,Goldfinch,Warbler,River Trail
963,B00964,Hawk,Finch,Canyon Pass
964,B00965,Kestrel,Warbler,River Trail
965,B00966,Swallow,Finch,Canyon Pass
966,B00967,Swallow,Warbler,North Rim
967,B00968,Robin,Woodpecker,North Rim
968,B00969,Pelican,Thrush,Canyon Pass
969,B00970,Bluebird,Woodpecker,River Trail
970,B00971,Wren,Owl,River Trail
971,B00972,Heron,Owl,North Rim
972,B00973,Falcon,Owl,South Rim
973,B00974,Falcon,Warbler,Canyon Pass
974,B00975,Sparrow,Woodpecker,South Rim
975,B00976,Hawk,Gull,River Trail
976,B00977,Sparrow,Woodpecker,South Rim
977,B00978,Swallow,Woodpecker,South Rim
978,B00979,Robin,Gull,North Rim
979,B00980,Swallow,Raptor,Canyon Pass
980,B00981,Swallow,Thrush,Canyon Pass
981,B00982,Chickadee,Thrush,North Rim
982,B00983,Swallow,Raptor,South Rim
983,B00984,Jay,Owl,River Trail
984,B00985,Swallow,Finch,South Rim
985,B00986,Jay,Finch,Meadow Loop
986,B00987,Jay,Warbler,South Rim
987,B00988,Robin,Finch,North Rim
988,B00989,Wren,Gull,South Rim
989,B00990,Goldfinch,Woodpecker,River Trail
990,B00991,Robin,Owl,North Rim
991,B00992,Swallow,Gull,Canyon Pass
992,B00993,Hawk,Woodpecker,North Rim
993,B00994,Heron,Raptor,North Rim
994,B00995,Falcon,Woodpecker,River Trail
995,B00996,Jay,Raptor,River Trail
996,B00997,Falcon,Thrush,South Rim
997,B00998,Robin,Raptor,South Rim
998,B00999,Kestrel,Thrush,North Rim
999,B01000,Falcon,Thrush,Meadow Loop
1000,B01001,Goldfinch,Woodpecker,South Rim
1001,B01002,Chickadee,Owl,North Rim
1002,B01003,Swallow,Warbler,South Rim
1003,B01004,Pelican,Owl,Canyon Pass
1004,B01005,Sparrow,Thrush,South Rim
1005,B01006,Pelican,Warbler,Canyon Pass
1006,B01007,Pelican,Gull,South Rim
1007,B01008,Falcon,Raptor,North Rim
1008,B01009,Chickadee,Owl,South Rim
1009,B01010,Falcon,Woodpecker,South Rim
1010,B01011,Wren,Thrush,North Rim
1011,B01012,Goldfinch,Thrush,River Trail
1012,B01013,Wren,Woodpecker,South Rim
1013,B01014,Robin,Finch,Meadow Loop
1014,B01015,Falcon,Finch,River Trail
1015,B01016,Goldfinch,Finch,River Trail
1016,B01017,Robin,Finch,River Trail
1017,B01018,Falcon,Gull,North Rim
1018,B01019,Bluebird,Gull,Meadow Loop
1019,B01020,Sparrow,Warbler,North Rim
1020,B01021,Bluebird,Gull,Meadow Loop
1021,B01022,Bluebird,Gull,Canyon Pass
1022,B01023,Pelican,Thrush,Meadow Loop
1023,B01024,Goldfinch,Raptor,River Trail
1024,B01025,Goldfinch,Owl,South Rim
1025,B01026,Bluebird,Gull,Canyon Pass
1026,B01027,Sparrow,Thrush,South Rim
1027,B01028,Wren,Thrush,River Trail
1028,B01029,Swallow,Gull,Meadow Loop
1029,B01030,Robin,Finch,Canyon Pass
1030,B01031,Falcon,Woodpecker,Canyon Pass
1031,B01032,Hawk,Finch,North Rim
1032,B01033,Chickadee,Woodpecker,Canyon Pass
1033,B01034,Robin,Warbler,North Rim
1034,B01035,Bluebird,Finch,River Trail
1035,B01036,Chickadee,Thrush,Canyon Pass
1036,B01037,Pelican,Gull,Meadow Loop
1037,B01038,Bluebird,Warbler,Canyon Pass
1038,B01039,Heron,Finch,South Rim
1039,B01040,Goldfinch,Raptor,South Rim
1040,B01041,Chickadee,Warbler,South Rim
1041,B01042,Pelican,Thrush,South Rim
1042,B01043,Heron,Finch,Meadow Loop
1043,B01044,Robin,Woodpecker,River Trail
1044,B01045,Chickadee,Warbler,Meadow Loop
1045,B01046,Sparrow,Raptor,River Trail
1046,B01047,Wren,Warbler,South Rim
1047,B01048,Swallow,Owl,North Rim
1048,B01049,Jay,Raptor,River Trail
1049,B01050,Sparrow,Woodpecker,Canyon Pass
1050,B01051,Falcon,Warbler,Canyon Pass
1051,B01052,Robin,Thrush,South Rim
1052,B01053,Falcon,Gull,River Trail
1053,B01054,Kestrel,Gull,Meadow Loop
1054,B01055,Bluebird,Woodpecker,Meadow Loop
1055,B01056,Kestrel,Woodpecker,North Rim
1056,B01057,Heron,Woodpecker,River Trail
1057,B01058,Goldfinch,Gull,North Rim
1058,B01059,Heron,Raptor,North Rim
1059,B01060,Robin,Finch,Meadow Loop
1060,B01061,Goldfinch,Thrush,North Rim
1061,B01062,Jay,Finch,South Rim
1062,B01063,Sparrow,Raptor,River Trail
1063,B01064,Chickadee,Thrush,Meadow Loop
1064,B01065,Chickadee,Warbler,River Trail
1065,B01066,Heron,Finch,North Rim
1066,B01067,Kestrel,Raptor,Meadow Loop
1067,B01068,Jay,Woodpecker,Canyon Pass
1068,B01069,Robin,Finch,Canyon Pass
1069,B01070,Bluebird,Woodpecker,Meadow Loop
1070,B01071,Jay,Gull,River Trail
1071,B01072,Hawk,Thrush,Canyon Pass
1072,B01073,Chickadee,Warbler,River Trail
1073,B01074,Falcon,Gull,North Rim
1074,B01075,Falcon,Finch,Canyon Pass
1075,B01076,Hawk,Raptor,South Rim
1076,B01077,Chickadee,Finch,Canyon Pass
1077,B01078,Hawk,Woodpecker,South Rim
1078,B01079,Heron,Raptor,Canyon Pass
1079,B01080,Goldfinch,Thrush,River Trail
1080,B01081,Pelican,Raptor,River Trail
1081,B01082,Kestrel,Woodpecker,South Rim
1082,B01083,Kestrel,Owl,Canyon Pass
1083,B01084,Swallow,Owl,North Rim
1084,B01085,Hawk,Woodpecker,River Trail
1085,B01086,Goldfinch,Thrush,South Rim
1086,B01087,Goldfinch,Warbler,River Trail
1087,B01088,Kestrel,Thrush,South Rim
1088,B01089,Jay,Thrush,Meadow Loop
1089,B01090,Sparrow,Owl,South Rim
1090,B01091,Falcon,Woodpecker,North Rim
1091,B01092,Heron,Warbler,North Rim
1092,B01093,Goldfinch,Owl,Meadow Loop
1093,B01094,Heron,Finch,South Rim
1094,B01095,Robin,Thrush,South Rim
1095,B01096,Sparrow,Woodpecker,Meadow Loop
1096,B01097,Goldfinch,Woodpecker,South Rim
1097,B01098,Chickadee,Finch,South Rim
1098,B01099,Bluebird,Gull,South Rim
1099,B01100,Heron,Raptor,South Rim
1100,B01101,Falcon,Owl,Meadow Loop
1101,B01102,Falcon,Finch,River Trail
1102,B01103,Pelican,Woodpecker,Canyon Pass
1103,B01104,Sparrow,Thrush,Meadow Loop
1104,B01105,Wren,Warbler,North Rim
1105,B01106,Hawk,Woodpecker,South Rim
1106,B01107,Wren,Raptor,South Rim
1107,B01108,Pelican,Raptor,River Trail
1108,B01109,Kestrel,Owl,South Rim
1109,B01110,Bluebird,Warbler,Canyon Pass
1110,B01111,Jay,Finch,South Rim
1111,B01112,Wren,Raptor,River Trail
1112,B01113,Hawk,Warbler,North Rim
1113,B01114,Wren,Woodpecker,Canyon Pass
1114,B01115,Hawk,Warbler,Canyon Pass
1115,B01116,Falcon,Thrush,Meadow Loop
1116,B01117,Kestrel,Gull,South Rim
1117,B01118,Swallow,Woodpecker,North Rim
1118,B01119,Chickadee,Thrush,Meadow Loop
1119,B01120,Falcon,Gull,River Trail
1120,B01121,Bluebird,Finch,Canyon Pass
1121,B01122,Sparrow,Owl,Meadow Loop
1122,B01123,Wren,Thrush,River Trail
1123,B01124,Wren,Woodpecker,Canyon Pass
1124,B01125,Goldfinch,Gull,Canyon Pass
1125,B01126,Goldfinch,Owl,River Trail
1126,B01127,Pelican,Raptor,North Rim
1127,B01128,Jay,Woodpecker,North Rim
1128,B01129,Swallow,Gull,River Trail
1129,B01130,Jay,Thrush,River Trail
1130,B01131,Heron,Woodpecker,North Rim
1131,B01132,Jay,Owl,North Rim
1132,B01133,Goldfinch,Raptor,Meadow Loop
1133,B01134,Chickadee,Finch,Meadow Loop
1134,B01135,Swallow,Raptor,North Rim
1135,B01136,Bluebird,Finch,River Trail
1136,B01137,Chickadee,Woodpecker,North Rim
1137,B01138,Robin,Woodpecker,Meadow Loop
1138,B01139,Chickadee,Warbler,Canyon Pass
1139,B01140,Swallow,Woodpecker,Canyon Pass
1140,B01141,Pelican,Finch,River Trail
1141,B01142,Robin,Gull,Meadow Loop
1142,B01143,Kestrel,Owl,Canyon Pass
1143,B01144,Goldfinch,Finch,Meadow Loop
1144,B01145,Robin,Finch,River Trail
1145,B01146,Falcon,Finch,Meadow Loop
1146,B01147,Falcon,Woodpecker,River Trail
1147,B01148,Chickadee,Raptor,Canyon Pass
1148,B01149,Jay,Warbler,River Trail
1149,B01150,Pelican,Raptor,Canyon Pass
1150,B01151,Robin,Warbler,North Rim
1151,B01152,Falcon,Raptor,North Rim
1152,B01153,Heron,Thrush,North Rim
1153,B01154,Pelican,Thrush,River Trail
1154,B01155,Wren,Owl,Meadow Loop
1155,B01156,Swallow,Thrush,South Rim
1156,B01157,Sparrow,Finch,North Rim
1157,B01158,Pelican,Owl,Canyon Pass
1158,B01159,Robin,Owl,Meadow Loop
1159,B01160,Robin,Finch,Meadow Loop
1160,B01161,Swallow,Warbler,River Trail
1161,B01162,Falcon,Woodpecker,River Trail
1162,B01163,Pelican,Owl,North Rim
1163,B01164,Falcon,Gull,North Rim
1164,B01165,Falcon,Thrush,Canyon Pass
1165,B01166,Sparrow,Thrush,South Rim
1166,B01167,Bluebird,Raptor,Meadow Loop
1167,B01168,Heron,Warbler,Meadow Loop
1168,B01169,Kestrel,Woodpecker,South Rim
1169,B01170,Pelican,Warbler,South Rim
1170,B01171,Jay,Warbler,Meadow Loop
1171,B01172,Jay,Woodpecker,North Rim
1172,B01173,Heron,Owl,River Trail
1173,B01174,Hawk,Warbler,Canyon Pass
1174,B01175,Bluebird,Raptor,Meadow Loop
1175,B01176,Robin,Finch,Meadow Loop
1176,B01177,Robin,Gull,North Rim
1177,B01178,Hawk,Woodpecker,North Rim
1178,B01179,Wren,Woodpecker,South Rim
1179,B01180,Bluebird,Woodpecker,South Rim
1180,B01181,Swallow,Thrush,North Rim
1181,B01182,Kestrel,Warbler,Canyon Pass
1182,B01183,Jay,Finch,North Rim
1183,B01184,Heron,Thrush,Meadow Loop
1184,B01185,Heron,Raptor,River Trail
1185,B01186,Wren,Warbler,Meadow Loop
1186,B01187,Sparrow,Woodpecker,South Rim
1187,B01188,Swallow,Thrush,South Rim
1188,B01189,Swallow,Warbler,Meadow Loop
1189,B01190,Bluebird,Warbler,South Rim
1190,B01191,Heron,Warbler,Meadow Loop
1191,B01192,Wren,Finch,North Rim
1192,B01193,Hawk,Raptor,North Rim
1193,B01194,Chickadee,Woodpecker,Meadow Loop
1194,B01195,Falcon,Warbler,Meadow Loop
1195,B01196,Jay,Finch,North Rim
1196,B01197,Chickadee,Gull,Canyon Pass
1197,B01198,Kestrel,Gull,North Rim
1198,B01199,Goldfinch,Owl,Canyon Pass
1199,B01200,Jay,Warbler,Meadow Loop
1200,B01201,Pelican,Finch,Canyon Pass
1201,B01202,Falcon,Owl,Canyon Pass
1202,B01203,Kestrel,Woodpecker,South Rim
1203,B01204,Chickadee,Gull,Meadow Loop
1204,B01205,Jay,Gull,South Rim
1205,B01206,Pelican,Woodpecker,River Trail
1206,B01207,Falcon,Gull,South Rim
1207,B01208,Chickadee,Woodpecker,River Trail
1208,B01209,Wren,Thrush,Canyon Pass
1209,B01210,Kestrel,Raptor,River Trail
1210,B01211,Jay,Thrush,North Rim
1211,B01212,Goldfinch,Thrush,South Rim
1212,B01213,Heron,Finch,Meadow Loop
1213,B01214,Pelican,Warbler,River Trail
1214,B01215,Bluebird,Raptor,River Trail
1215,B01216,Sparrow,Finch,River Trail
1216,B01217,Falcon,Gull,South Rim
1217,B01218,Chickadee,Woodpecker,River Trail
1218,B01219,Goldfinch,Owl,Meadow Loop
1219,B01220,Heron,Raptor,Canyon Pass
1220,B01221,Jay,Raptor,Meadow Loop
1221,B01222,Swallow,Owl,Canyon Pass
1222,B01223,Kestrel,Thrush,Canyon Pass
1223,B01224,Jay,Finch,North Rim
1224,B01225,Heron,Raptor,South Rim
1225,B01226,Kestrel,Warbler,South Rim
1226,B01227,Sparrow,Gull,North Rim
1227,B01228,Kestrel,Raptor,North Rim
1228,B01229,Hawk,Warbler,Meadow Loop
1229,B01230,Wren,Gull,South Rim
1230,B01231,Goldfinch,Warbler,North Rim
1231,B01232,Chickadee,Gull,South Rim
1232,B01233,Kestrel,Warbler,South Rim
1233,B01234,Chickadee,Finch,North Rim
1234,B01235,Jay,Owl,North Rim
1235,B01236,Robin,Warbler,Meadow Loop
1236,B01237,Bluebird,Owl,Canyon Pass
1237,B01238,Sparrow,Owl,River Trail
1238,B01239,Wren,Woodpecker,Meadow Loop
1239,B01240,Bluebird,Warbler,Canyon Pass
1240,B01241,Falcon,Owl,Canyon Pass
1241,B01242,Goldfinch,Woodpecker,North Rim
1242,B01243,Kestrel,Owl,Canyon Pass
