sighting_id,sighting_ts,park_name,trail_id,observer_badge,species_raw,count_seen
S001360,2025-07-22,gRaNd Canyon National Park,T106,B0264,SC04,2
S001361,2025-06-24,yellowstone National Park,T081,B0187,SC13,2
S001362,2025-06-21,acadia National Park,T040,,SC13,3
S001363,2025-06-26,zion National Park,T051,B0251,SC26,1
S001364,2025-06-04,zion National Park,T030,,SC02,1
S001365,2025-08-16,gRaNd Canyon National Park,T010,B0235,SC08,4
S001366,2025-08-07,zIoN National Park,T092,B0220,SC04,1
S001367,2025-08-11,Yellowstone National Park ,T028,B0250,SC07,3
S001368,2025-07-14,zion National Park,T105,B0321,SC25,1
S001369,2025-08-02,grand Canyon National Park,T105,B0122,SC16,6
S001370,2025-08-20,yElLoWsToNe National Park,T109,B0369,SC20,2
S001371,2025-08-15,glacier National Park,T099,,SC27,2
S001372,2025-07-02,yElLoWsToNe National Park,T086,B0091,SC05,1
S001373,2025-06-17,Zion National Park ,T047,B0123,SC08,6
S001374,2025-07-09,acadia National Park,T115,B0395,SC17,1
S001375,2025-06-05,Acadia National Park ,T012,B0022,SC10,1
S001376,2025-06-04,Glacier National Park ,T095,B0196,SC09,2
S001377,2025-08-18,Glacier National Park ,T002,B0316,SC12 - Elk,2
S001378,2025-07-23,glacier National Park,T119,B0306,SC09,4
S001379,2025-06-20,gLaCiEr National Park,T017,B0392,SC03 - River Otter,3
S001380,2025-06-25,Zion National Park ,T017,B0289,SC25,4
S001381,2025-06-04,Redwood National Park ,T016,B0333,SC11,4
S001382,2025-08-16,rEdWoOd National Park,T058,B0379,SC01,1
S001383,2025-07-21,Grand Canyon National Park ,T073,B0168,SC07,3
S001384,2025-06-18,yellowstone National Park,T028,B0154,SC20,2
S001385,2025-08-10,aCaDiA National Park,T077,B0307,sc07,1
S001386,2025-06-10,grand Canyon National Park,T025,B0348,SC19,3
S001387,2025-06-28,acadia National Park,T026,B0100,SC26,2
S001388,2025-06-14,Zion National Park ,T049,B0190,SC16,4
S001389,2025-07-09,zion National Park,T067,,SC24,1
S001390,2025-08-19,Acadia National Park ,T115,,SC02,2
S001391,2025-08-19,rEdWoOd National Park,T108,,SC21,3
S001392,2025-06-14,Grand Canyon National Park ,T029,B0253,SC11,2
S001393,2025-08-08,grand Canyon National Park,T003,B0300,SC28,2
S001394,2025-07-14,acadia National Park,T024,B0330,SC01,1
S001395,2025-07-01,zion National Park,T065,B0381,SC05,2
S001396,2025-08-21,aCaDiA National Park,T051,B0054,SC30,2
S001397,2025-06-06,gRaNd Canyon National Park,T062,B0144,SC06,1
S001398,2025-06-13,Yellowstone National Park ,T095,B0118,SC22,1
S001399,2025-07-11,Acadia National Park ,T026,B0003,SC12 - Elk,3
S001400,2025-08-25,Zion National Park ,T019,B0159,SC21,2
S001401,2025-07-11,zion National Park,T060,B0011,SC16,3
S001402,2025-08-13,Acadia National Park ,T070,B0269,SC15,2
S001403,2025-07-01,aCaDiA National Park,T060,B0039,SC29,4
S001404,2025-07-29,yellowstone National Park,T089,B0331,SC01,1
S001405,2025-06-04,Acadia National Park ,T096,B0115,sc07,2
S001406,2025-07-30,Zion National Park ,T055,,SC22,4
S001407,2025-07-07,yElLoWsToNe National Park,T094,B0393,SC30,1
S001408,2025-06-21,acadia National Park,T019,,SC24,2
S001409,2025-07-08,grand Canyon National Park,T119,B0340,SC16,4
S001410,2025-07-02,Glacier National Park ,T041,B0198,SC25,4
S001411,2025-06-13,Acadia National Park ,T015,B0250,SC27,3
S001412,2025-06-05,yellowstone National Park,T038,B0200,SC01,3
S001413,2025-06-05,zIoN National Park,T015,B0200,SC12,5
S001414,2025-07-30,grand Canyon National Park,T036,B0229,SC28,1
S001415,2025-06-21,acadia National Park,T099,B0373,SC26,3
S001416,2025-07-15,gRaNd Canyon National Park,T042,,SC22,3
S001417,2025-06-05,zIoN National Park,T059,B0126,SC30,1
S001418,2025-07-22,zIoN National Park,T018,B0186,SC04,3
S001419,2025-06-12,aCaDiA National Park,T008,,SC25 - Mountain Goat,1
S001420,2025-07-14,Yellowstone National Park ,T120,B0215,SC26,3
S001421,2025-06-09,gLaCiEr National Park,T051,B0148,SC03 - River Otter,1
S001422,2025-06-04,redwood National Park,T052,B0188,SC12 - Elk,3
S001423,2025-07-01,acadia National Park,T024,B0176,SC03,3
S001424,2025-07-09,Redwood National Park ,T002,B0079,SC16,4
S001425,2025-08-11,gLaCiEr National Park,T046,B0211,SC08,2
S001426,2025-07-26,Redwood National Park ,T018,B0105,SC22,4
S001427,2025-08-21,acadia National Park,T107,,SC21,1
S001428,2025-07-07,grand Canyon National Park,T087,B0342,SC07,1
S001429,2025-08-22,Grand Canyon National Park ,T012,B0032,SC25 - Mountain Goat,3
S001430,2025-06-10,rEdWoOd National Park,T038,B0094,SC04,4
S001431,2025-08-22,aCaDiA National Park,T033,B0041,SC21,3
S001432,2025-06-01,aCaDiA National Park,T106,,SC11,1
S001433,2025-07-02,zion National Park,T084,,SC26,1
S001434,2025-08-03,rEdWoOd National Park,T074,B0287,SC11,4
S001435,2025-07-12,yElLoWsToNe National Park,T036,B0261,SC12,2
S001436,2025-06-15,Grand Canyon National Park ,T086,B0329,SC19,4
S001437,2025-07-23,Acadia National Park ,T009,B0285,SC15,3
S001438,2025-08-09,aCaDiA National Park,T100,B0154,SC15,1
S001439,2025-06-13,glacier National Park,T096,B0392,SC17,1
S001440,2025-08-03,acadia National Park,T110,B0070,SC07,4
S001441,2025-08-14,aCaDiA National Park,T043,,sc07,1
S001442,2025-06-29,zIoN National Park,T081,,SC11,2
S001443,2025-07-03,zion National Park,T064,B0196,SC14,1
S001444,2025-08-09,Acadia National Park ,T028,B0256,SC10,2
S001445,2025-07-07,glacier National Park,T062,,SC27,3
S001446,2025-06-19,glacier National Park,T076,B0113,SC26,1
S001447,2025-06-04,acadia National Park,T005,B0392,SC07,2
S001448,2025-08-20,grand Canyon National Park,T091,B0129,SC14,3
S001449,2025-06-22,redwood National Park,T020,B0064,SC24,1
S001450,2025-07-12,gRaNd Canyon National Park,T046,,SC02,2
S001451,2025-08-29,zIoN National Park,T054,B0272,SC07,1
S001452,2025-08-07,zion National Park,T032,B0329,SC04,3
S001453,2025-08-25,aCaDiA National Park,T080,B0257,SC16,6
S001454,2025-06-07,yellowstone National Park,T046,B0229,SC20,3
S001455,2025-08-01,zion National Park,T099,B0375,SC30,1
S001456,2025-08-23,aCaDiA National Park,T071,B0328,sc07,1
S001457,2025-07-28,aCaDiA National Park,T053,B0337,SC12 - Elk,2
S001458,2025-06-03,grand Canyon National Park,T014,B0095,SC03,5
S001459,2025-06-01,acadia National Park,T005,B0002,SC19,4
S001460,2025-08-20,glacier National Park,T035,B0388,SC15,3
S001461,2025-06-17,Acadia National Park ,T058,B0183,SC27,1
S001462,2025-08-21,gLaCiEr National Park,T045,B0361,Sc18,3
S001463,2025-08-23,Zion National Park ,T061,B0295,SC29,3
S001464,2025-06-07,zIoN National Park,T059,B0144,SC23,1
S001465,2025-06-09,Yellowstone National Park ,T059,B0095,SC23,4
S001466,2025-07-02,Yellowstone National Park ,T013,B0025,SC15,5
S001467,2025-08-05,Redwood National Park ,T001,B0278,SC06,3
S001468,2025-08-15,rEdWoOd National Park,T001,B0027,Sc18,3
S001469,2025-06-20,zion National Park,T055,B0167,SC04,4
S001470,2025-07-04,grand Canyon National Park,T103,B0370,SC14,3
S001471,2025-06-21,Redwood National Park ,T056,B0135,SC25 - Mountain Goat,1
S001472,2025-08-27,Yellowstone National Park ,T059,B0309,SC05,2
S001473,2025-08-19,zion National Park,T110,B0379,SC20,1
S001474,2025-06-30,yElLoWsToNe National Park,T006,B0185,SC12 - Elk,5
S001475,2025-07-29,grand Canyon National Park,T030,B0381,SC11,2
S001476,2025-08-07,redwood National Park,T055,B0098,SC09,4
S001477,2025-07-17,Yellowstone National Park ,T106,B0384,SC01,1
S001478,2025-07-16,yellowstone National Park,T055,B0330,SC01,2
S001479,2025-07-19,aCaDiA National Park,T117,B0193,sc07,3
S001480,2025-06-30,aCaDiA National Park,T095,B0101,SC16,3
S001481,2025-07-17,rEdWoOd National Park,T104,B0017,SC09,3
S001482,2025-07-27,yElLoWsToNe National Park,T103,B0300,SC04,2
S001483,2025-06-25,glacier National Park,T005,,SC25,2
S001484,2025-08-13,Grand Canyon National Park ,T034,B0040,SC27,4
S001485,2025-07-12,acadia National Park,T007,B0283,Sc18,3
S001486,2025-07-27,Glacier National Park ,T021,B0357,SC09,3
S001487,2025-08-25,Acadia National Park ,T110,B0297,SC14,1
S001488,2025-07-30,acadia National Park,T009,B0213,SC01,1
S001489,2025-06-11,Zion National Park ,T086,B0351,SC03,6
S001490,2025-07-25,Redwood National Park ,T035,B0394,SC08,1
S001491,2025-08-15,zion National Park,T010,B0281,SC01,1
S001492,2025-07-20,Zion National Park ,T081,B0346,SC25 - Mountain Goat,1
S001493,2025-06-11,Glacier National Park ,T110,B0217,SC17,4
S001494,2025-07-02,acadia National Park,T078,B0005,SC28,2
S001495,2025-06-03,Acadia National Park ,T075,B0270,SC16,1
S001496,2025-06-05,aCaDiA National Park,T042,B0215,SC01,1
S001497,2025-08-17,yellowstone National Park,T057,B0316,SC17,1
S001498,2025-07-17,grand Canyon National Park,T038,B0294,SC20,1
S001499,2025-07-23,grand Canyon National Park,T043,B0209,SC24,2
S001500,2025-08-28,Grand Canyon National Park ,T011,B0181,SC24,4
S001501,2025-06-26,grand Canyon National Park,T057,B0122,SC23,2
S001502,2025-07-30,redwood National Park,T040,B0210,SC06,4
S001503,2025-06-07,Acadia National Park ,T104,B0306,SC11,1
S001504,2025-07-30,aCaDiA National Park,T020,B0090,SC15,4
S001505,2025-07-04,Redwood National Park ,T003,B0005,SC19,3
S001506,2025-06-20,yElLoWsToNe National Park,T116,,Sc18,4
S001507,2025-06-30,acadia National Park,T118,B0320,SC05,1
S001508,2025-08-21,gRaNd Canyon National Park,T116,B0082,SC25,1
S001509,2025-07-11,acadia National Park,T021,B0212,SC15,2
S001510,2025-06-02,acadia National Park,T100,B0294,SC27,5
S001511,2025-06-13,zIoN National Park,T098,,SC08,3
S001512,2025-06-19,yellowstone National Park,T085,,SC21,1
S001513,2025-06-17,Redwood National Park ,T060,,SC16,1
S001514,2025-08-01,yellowstone National Park,T074,B0068,SC12 - Elk,1
S001515,2025-07-31,aCaDiA National Park,T103,B0246,SC06,1
S001516,2025-06-11,Redwood National Park ,T032,,SC30,1
S001517,2025-08-05,gLaCiEr National Park,T066,B0110,SC04,4
S001518,2025-06-29,grand Canyon National Park,T058,B0160,sc07,3
S001519,2025-06-19,rEdWoOd National Park,T077,B0100,SC16,1
S001520,2025-07-19,Yellowstone National Park ,T030,B0129,SC22,1
S001521,2025-08-07,rEdWoOd National Park,T054,B0055,SC09,3
S001522,2025-06-24,Acadia National Park ,T064,B0020,SC12 - Elk,1
S001523,2025-07-12,Zion National Park ,T050,,Sc18,2
S001524,2025-07-15,zIoN National Park,T033,B0055,SC09,3
S001525,2025-07-19,rEdWoOd National Park,T081,B0156,SC29,2
S001526,2025-06-26,Glacier National Park ,T067,B0138,SC13,1
S001527,2025-06-25,glacier National Park,T021,B0163,sc07,2
S001528,2025-07-19,rEdWoOd National Park,T099,B0271,SC05,1
S001529,2025-08-08,gLaCiEr National Park,T060,,SC27,1
S001530,2025-08-05,Glacier National Park ,T060,B0352,SC07,3
S001531,2025-06-08,Zion National Park ,T051,B0089,SC13,2
S001532,2025-06-20,gLaCiEr National Park,T033,B0232,SC28,1
S001533,2025-06-28,Redwood National Park ,T037,B0148,SC03,2
S001534,2025-07-25,gRaNd Canyon National Park,T026,B0033,SC11,3
S001535,2025-07-28,gRaNd Canyon National Park,T113,B0191,sc07,1
S001536,2025-06-10,Yellowstone National Park ,T025,B0039,SC24,1
S001537,2025-06-28,yElLoWsToNe National Park,T041,B0328,SC14,2
S001538,2025-08-23,zion National Park,T120,B0163,SC02,1
S001539,2025-06-09,gRaNd Canyon National Park,T089,B0182,SC08,2
S001540,2025-06-14,acadia National Park,T004,,SC01,3
S001541,2025-08-02,zion National Park,T103,B0343,SC20,2
S001542,2025-08-20,aCaDiA National Park,T091,B0274,SC27,2
S001543,2025-07-23,redwood National Park,T030,B0077,SC10,1
S001544,2025-07-24,gLaCiEr National Park,T097,B0150,SC03,3
S001545,2025-06-15,Glacier National Park ,T039,B0023,SC20,4
S001546,2025-07-23,gRaNd Canyon National Park,T094,B0218,SC03 - River Otter,1
S001547,2025-06-10,gLaCiEr National Park,T078,B0297,SC11,2
S001548,2025-06-15,grand Canyon National Park,T067,B0256,SC30,1
S001549,2025-07-26,Zion National Park ,T083,B0371,SC04,1
S001550,2025-06-28,zIoN National Park,T112,B0054,SC29,1
S001551,2025-06-19,redwood National Park,T098,B0069,SC18,3
S001552,2025-08-01,gRaNd Canyon National Park,T090,,SC21,1
S001553,2025-07-20,zIoN National Park,T120,B0025,SC19,3
S001554,2025-07-08,Grand Canyon National Park ,T110,B0164,SC16,3
S001555,2025-08-27,zIoN National Park,T013,B0343,SC02,2
S001556,2025-08-26,zIoN National Park,T114,B0172,SC06,2
S001557,2025-07-03,acadia National Park,T026,B0034,SC06,1
S001558,2025-06-08,Glacier National Park ,T091,B0141,SC01,2
S001559,2025-07-14,glacier National Park,T044,B0080,SC21,3
S001560,2025-06-30,Yellowstone National Park ,T106,B0354,SC12 - Elk,1
S001561,2025-07-18,yellowstone National Park,T103,B0051,SC10,1
S001562,2025-08-14,gLaCiEr National Park,T005,B0083,SC01,4
S001563,2025-06-25,Acadia National Park ,T097,B0207,SC26,4
S001564,2025-07-27,rEdWoOd National Park,T017,B0210,SC10,5
S001565,2025-07-10,aCaDiA National Park,T025,B0366,SC23,4
S001566,2025-07-11,Yellowstone National Park ,T033,B0029,SC12 - Elk,4
S001567,2025-06-20,yElLoWsToNe National Park,T019,B0045,SC19,1
S001568,2025-06-12,zIoN National Park,T027,,SC17,2
S001569,2025-08-04,redwood National Park,T056,B0181,SC30,3
S001570,2025-08-15,glacier National Park,T050,,SC21,2
S001571,2025-08-29,zion National Park,T066,,Sc18,3
S001572,2025-07-03,redwood National Park,T038,B0018,SC13,1
S001573,2025-08-23,Glacier National Park ,T078,B0386,SC12 - Elk,1
S001574,2025-07-23,yellowstone National Park,T064,B0327,SC25,2
S001575,2025-08-01,acadia National Park,T001,B0233,SC22,3
S001576,2025-08-02,rEdWoOd National Park,T045,B0300,SC16,4
S001577,2025-06-07,zIoN National Park,T053,B0162,SC23,2
S001578,2025-08-23,Acadia National Park ,T001,B0262,SC25 - Mountain Goat,1
S001579,2025-07-20,zIoN National Park,T021,B0259,SC01,1
S001580,2025-06-27,Grand Canyon National Park ,T006,B0336,SC22,1
S001581,2025-07-01,Acadia National Park ,T058,B0255,SC30,3
S001582,2025-06-01,grand Canyon National Park,T039,B0204,SC07,5
S001583,2025-08-19,gRaNd Canyon National Park,T013,,SC28,1
S001584,2025-06-11,Glacier National Park ,T089,,SC12 - Elk,3
S001585,2025-06-22,aCaDiA National Park,T097,B0155,SC21,2
S001586,2025-08-08,gLaCiEr National Park,T084,B0208,SC03 - River Otter,4
S001587,2025-06-02,gRaNd Canyon National Park,T086,B0289,SC06,3
S001588,2025-07-17,glacier National Park,T002,B0348,SC01,3
S001589,2025-06-11,acadia National Park,T030,B0274,SC20,5
S001590,2025-08-22,grand Canyon National Park,T116,B0177,SC19,3
S001591,2025-07-22,yellowstone National Park,T050,B0177,SC28,5
S001592,2025-07-29,gLaCiEr National Park,T057,B0173,SC22,1
S001593,2025-07-11,rEdWoOd National Park,T031,B0222,SC01,2
S001594,2025-07-10,Redwood National Park ,T014,,SC03,2
S001595,2025-08-27,zion National Park,T096,B0206,SC14,1
S001596,2025-06-21,Grand Canyon National Park ,T100,B0108,SC12,2
S001597,2025-07-03,aCaDiA National Park,T088,B0043,sc07,2
S001598,2025-07-17,zIoN National Park,T116,B0182,SC27,1
S001599,2025-07-27,gRaNd Canyon National Park,T113,,SC25 - Mountain Goat,3
S001600,2025-06-07,Acadia National Park ,T108,B0372,SC23,1
S001601,2025-08-04,Grand Canyon National Park ,T098,B0097,SC10,3
S001602,2025-06-11,redwood National Park,T099,B0333,SC07,2
S001603,2025-06-05,zIoN National Park,T116,B0245,SC15,2
S001604,2025-06-13,Yellowstone National Park ,T045,B0113,SC02,1
S001605,2025-06-05,redwood National Park,T045,B0146,SC16,1
S001606,2025-07-30,Glacier National Park ,T022,B0057,SC03 - River Otter,3
S001607,2025-08-22,aCaDiA National Park,T024,B0297,sc07,2
S001608,2025-06-08,Yellowstone National Park ,T021,B0306,SC26,1
S001609,2025-06-13,Acadia National Park ,T007,B0396,SC02,4
S001610,2025-06-09,yellowstone National Park,T061,B0125,SC06,4
S001611,2025-06-13,gLaCiEr National Park,T045,B0060,SC19,2
S001612,2025-06-23,grand Canyon National Park,T110,B0319,SC09,4
S001613,2025-06-22,zion National Park,T040,B0250,SC15,1
S001614,2025-07-14,zIoN National Park,T005,B0330,SC18,3
S001615,2025-08-07,redwood National Park,T019,B0097,SC07,3
S001616,2025-07-02,Grand Canyon National Park ,T081,B0123,SC25,4
S001617,2025-08-04,gRaNd Canyon National Park,T024,B0331,SC14,1
S001618,2025-08-17,Yellowstone National Park ,T078,B0325,SC30,1
S001619,2025-08-26,grand Canyon National Park,T105,B0348,SC29,1
S001620,2025-08-04,gLaCiEr National Park,T014,,SC20,3
S001621,2025-07-12,zion National Park,T068,B0114,SC03,4
S001622,2025-06-11,Yellowstone National Park ,T029,B0248,SC22,2
S001623,2025-07-24,glacier National Park,T115,B0119,SC13,4
S001624,2025-06-26,Zion National Park ,T107,B0287,SC08,4
S001625,2025-06-11,zion National Park,T096,B0156,SC17,1
S001626,2025-08-21,grand Canyon National Park,T083,B0169,SC02,5
S001627,2025-08-16,gRaNd Canyon National Park,T074,,SC03,1
S001628,2025-06-14,gLaCiEr National Park,T009,,SC08,2
S001629,2025-07-16,Zion National Park ,T101,,sc07,4
S001630,2025-08-17,Redwood National Park ,T071,B0144,SC03,2
S001631,2025-06-18,Redwood National Park ,T102,B0202,SC23,1
S001632,2025-06-05,yElLoWsToNe National Park,T073,B0235,SC19,3
S001633,2025-06-10,acadia National Park,T092,B0370,SC21,1
S001634,2025-08-02,Grand Canyon National Park ,T077,B0104,SC26,3
S001635,2025-07-08,Zion National Park ,T094,B0373,SC08,4
S001636,2025-06-14,Zion National Park ,T048,B0236,SC08,3
S001637,2025-07-03,Grand Canyon National Park ,T096,B0321,SC29,1
S001638,2025-06-25,Grand Canyon National Park ,T110,B0251,SC07,2
S001639,2025-08-25,Glacier National Park ,T092,B0047,SC05,4
S001640,2025-07-16,zIoN National Park,T070,B0400,SC21,2
S001641,2025-06-04,Glacier National Park ,T006,B0202,SC05,1
S001642,2025-08-21,grand Canyon National Park,T072,B0271,SC14,2
S001643,2025-06-11,Grand Canyon National Park ,T029,B0101,SC02,4
S001644,2025-08-13,yElLoWsToNe National Park,T120,B0392,SC04,1
S001645,2025-07-02,Zion National Park ,T027,,SC11,2
S001646,2025-07-17,grand Canyon National Park,T011,B0357,SC18,1
S001647,2025-07-28,zion National Park,T006,B0155,SC24,2
S001648,2025-08-29,aCaDiA National Park,T053,B0269,SC20,2
S001649,2025-06-08,yElLoWsToNe National Park,T032,B0250,SC18,1
S001650,2025-08-14,Grand Canyon National Park ,T114,B0297,SC26,1
S001651,2025-06-18,glacier National Park,T035,B0027,SC01,2
S001652,2025-08-21,Grand Canyon National Park ,T017,B0097,SC02,2
S001653,2025-06-17,Grand Canyon National Park ,T056,B0354,SC16,2
S001654,2025-08-16,gLaCiEr National Park,T019,B0325,SC14,3
S001655,2025-06-14,grand Canyon National Park,T039,B0264,SC13,3
S001656,2025-06-23,zIoN National Park,T067,B0204,SC09,1
S001657,2025-08-04,rEdWoOd National Park,T063,,SC21,2
S001658,2025-08-26,gRaNd Canyon National Park,T092,B0370,SC17,1
S001659,2025-08-05,yElLoWsToNe National Park,T014,B0256,SC11,2
S001660,2025-07-15,aCaDiA National Park,T036,B0382,SC25,1
S001661,2025-06-02,Redwood National Park ,T001,B0135,SC17,1
S001662,2025-07-12,Grand Canyon National Park ,T001,B0254,SC22,4
S001663,2025-07-02,Grand Canyon National Park ,T009,B0129,SC11,3
S001664,2025-06-04,glacier National Park,T090,B0146,SC19,4
S001665,2025-07-23,zIoN National Park,T051,B0307,SC15,3
S001666,2025-06-13,Zion National Park ,T108,B0377,SC01,1
S001667,2025-08-11,zion National Park,T050,B0026,SC02,5
S001668,2025-06-15,yellowstone National Park,T110,B0369,SC05,1
S001669,2025-07-18,glacier National Park,T021,B0128,SC21,2
S001670,2025-07-10,gLaCiEr National Park,T044,B0253,SC19,3
S001671,2025-08-11,zion National Park,T104,,SC28,2
S001672,2025-08-05,Redwood National Park ,T039,B0186,SC01,2
S001673,2025-08-29,glacier National Park,T020,B0040,SC05,1
S001674,2025-06-14,Redwood National Park ,T007,B0284,SC06,3
S001675,2025-06-01,gLaCiEr National Park,T067,,SC02,1
S001676,2025-08-09,zion National Park,T112,B0396,SC18,1
S001677,2025-08-28,gRaNd Canyon National Park,T063,B0038,SC12 - Elk,2
S001678,2025-08-12,rEdWoOd National Park,T004,B0061,SC23,1
S001679,2025-08-26,redwood National Park,T048,B0306,SC27,2
S001680,2025-08-25,Grand Canyon National Park ,T117,B0051,SC10,1
S001681,2025-06-11,rEdWoOd National Park,T119,B0352,SC09,2
S001682,2025-06-28,yElLoWsToNe National Park,T079,B0241,SC25,4
S001683,2025-08-16,grand Canyon National Park,T082,B0385,SC08,1
S001684,2025-06-20,Yellowstone National Park ,T010,,SC23,1
S001685,2025-08-05,rEdWoOd National Park,T033,B0234,SC03 - River Otter,4
S001686,2025-07-26,Grand Canyon National Park ,T111,B0211,SC03,1
S001687,2025-06-05,gLaCiEr National Park,T041,B0053,SC12,4
S001688,2025-07-07,Yellowstone National Park ,T006,,SC03 - River Otter,1
S001689,2025-07-02,Redwood National Park ,T020,B0313,SC03 - River Otter,1
S001690,2025-06-26,gLaCiEr National Park,T005,B0165,SC01,3
S001691,2025-08-12,grand Canyon National Park,T047,B0106,SC02,6
S001692,2025-06-04,Glacier National Park ,T111,B0275,SC12 - Elk,4
S001693,2025-06-12,grand Canyon National Park,T045,,SC30,2
S001694,2025-08-04,redwood National Park,T120,B0301,SC30,3
S001695,2025-07-12,zIoN National Park,T035,B0046,SC22,3
S001696,2025-06-01,rEdWoOd National Park,T038,B0231,SC03,2
S001697,2025-08-25,gRaNd Canyon National Park,T106,,SC12 - Elk,7
S001698,2025-07-03,Glacier National Park ,T010,,SC24,3
S001699,2025-08-14,glacier National Park,T015,B0362,SC20,1
S001700,2025-07-18,gLaCiEr National Park,T087,B0053,SC16,5
S001701,2025-08-18,Zion National Park ,T003,,SC25,2
S001702,2025-07-21,Grand Canyon National Park ,T058,B0337,SC18,4
S001703,2025-07-15,Yellowstone National Park ,T013,B0130,SC19,1
S001704,2025-06-08,acadia National Park,T004,B0230,SC29,1
S001705,2025-06-30,Glacier National Park ,T042,B0259,SC27,1
S001706,2025-08-18,yElLoWsToNe National Park,T031,B0027,SC08,2
S001707,2025-07-23,gRaNd Canyon National Park,T113,B0279,SC28,5
S001708,2025-06-22,grand Canyon National Park,T114,B0344,SC19,4
S001709,2025-06-08,rEdWoOd National Park,T089,B0299,SC02,1
S001710,2025-08-17,rEdWoOd National Park,T118,,SC15,4
S001711,2025-06-04,grand Canyon National Park,T100,B0009,SC17,4
S001712,2025-07-31,acadia National Park,T115,B0118,SC02,2
S001713,2025-07-05,Redwood National Park ,T038,,SC24,1
S001714,2025-07-13,glacier National Park,T019,B0097,SC11,1
S001715,2025-07-03,rEdWoOd National Park,T082,B0230,SC19,2
S001716,2025-07-15,zIoN National Park,T042,,SC06,3
S001717,2025-08-21,zion National Park,T055,B0082,SC29,1
S001718,2025-06-26,gLaCiEr National Park,T109,B0047,SC27,1
S001719,2025-06-03,Zion National Park ,T069,,SC09,2
S001720,2025-07-22,Acadia National Park ,T113,B0064,SC08,3
S001721,2025-07-22,zIoN National Park,T089,B0285,SC10,1
S001722,2025-06-17,Grand Canyon National Park ,T053,B0308,SC27,4
S001723,2025-06-24,zIoN National Park,T056,B0380,SC30,2
S001724,2025-07-12,yellowstone National Park,T036,B0060,SC08,1
S001725,2025-08-01,Grand Canyon National Park ,T091,B0379,SC08,2
S001726,2025-07-09,yElLoWsToNe National Park,T029,B0110,SC23,3
S001727,2025-06-28,Grand Canyon National Park ,T035,B0319,SC04,2
S001728,2025-08-27,redwood National Park,T088,B0367,sc07,5
S001729,2025-08-06,acadia National Park,T004,B0304,SC25 - Mountain Goat,2
S001730,2025-06-22,Acadia National Park ,T041,B0029,SC29,1
S001731,2025-08-01,Acadia National Park ,T015,B0039,SC24,1
S001732,2025-06-24,redwood National Park,T104,B0171,SC01,5
S001733,2025-08-08,yElLoWsToNe National Park,T083,B0084,SC03,2
S001734,2025-07-27,Yellowstone National Park ,T043,B0352,SC04,2
S001735,2025-07-07,Acadia National Park ,T070,B0326,SC16,1
S001736,2025-07-21,redwood National Park,T011,B0196,SC20,2
S001737,2025-06-07,Grand Canyon National Park ,T022,B0113,SC18,2
S001738,2025-08-24,zion National Park,T112,B0388,SC14,2
S001739,2025-06-10,zion National Park,T001,B0015,SC23,3
S001740,2025-07-29,yElLoWsToNe National Park,T046,B0052,SC15,1
S001741,2025-06-06,Grand Canyon National Park ,T059,B0070,sc07,1
S001742,2025-07-07,yellowstone National Park,T070,,SC05,2
S001743,2025-06-17,Glacier National Park ,T071,B0090,SC04,2
S001744,2025-08-03,Yellowstone National Park ,T057,B0277,SC02,4
S001745,2025-07-18,Grand Canyon National Park ,T011,B0162,SC11,2
S001746,2025-06-24,Zion National Park ,T088,B0234,SC04,4
S001747,2025-06-12,grand Canyon National Park,T017,B0175,SC06,4
S001748,2025-06-06,rEdWoOd National Park,T100,B0238,SC03,1
S001749,2025-06-26,zion National Park,T012,B0260,SC29,1
S001750,2025-08-13,aCaDiA National Park,T032,B0007,SC10,1
S001751,2025-06-04,yellowstone National Park,T011,,SC13,4
S001752,2025-08-11,Redwood National Park ,T050,B0271,SC06,1
S001753,2025-07-13,Zion National Park ,T048,B0387,SC12 - Elk,3
S001754,2025-06-15,aCaDiA National Park,T055,B0130,SC12 - Elk,3
S001755,2025-08-01,yellowstone National Park,T090,B0188,SC07,1
S001756,2025-06-08,Zion National Park ,T112,B0047,SC06,4
S001757,2025-06-06,Grand Canyon National Park ,T038,,SC12 - Elk,1
S001758,2025-07-08,redwood National Park,T057,B0030,SC06,3
S001759,2025-06-01,redwood National Park,T096,B0003,SC22,1
S001760,2025-07-03,grand Canyon National Park,T091,B0078,SC29,1
S001761,2025-06-11,aCaDiA National Park,T048,,SC01,2
S001762,2025-06-14,zIoN National Park,T021,B0206,SC09,3
S001763,2025-07-13,yellowstone National Park,T016,B0086,SC05,1
S001764,2025-07-19,gRaNd Canyon National Park,T057,B0238,SC02,4
S001765,2025-07-13,Acadia National Park ,T119,,SC21,5
S001766,2025-06-03,Grand Canyon National Park ,T037,B0084,SC02,1
S001767,2025-06-13,rEdWoOd National Park,T007,B0060,SC12,2
S001768,2025-06-07,Zion National Park ,T023,B0377,SC30,1
S001769,2025-07-24,acadia National Park,T019,B0264,SC26,3
S001770,2025-07-04,zIoN National Park,T089,,SC20,4
S001771,2025-08-10,zIoN National Park,T029,B0166,SC26,1
S001772,2025-07-18,acadia National Park,T034,B0319,SC27,3
S001773,2025-06-15,redwood National Park,T101,B0037,SC07,2
S001774,2025-08-19,grand Canyon National Park,T039,B0044,SC11,4
S001775,2025-07-07,redwood National Park,T071,B0072,SC28,3
S001776,2025-07-25,Yellowstone National Park ,T078,B0333,SC29,1
